Row Number,Publisher,Title,Author,Description,URL,Published At
11,Chicago Tribune,"Norovirus outbreak investigation linked to $1 burrito event underway in Evanston, health department confirms",Rebecca Johnson,A confirmed norovirus outbreak investigation is underway at the Evanston Health and Human Services Department and Northwestern University after students got sick from a $1 burrito event.,https://www.chicagotribune.com/news/breaking/ct-norovirus-outbreak-investigation-evanston-20231123-ehlmpvptpbdjbafycwmman4oz4-story.html,2023-11-23T17:00:02Z
12,Reuters,"Exclusive: Barclays working on $1.25 billion cost plan, could cut up to 2,000 jobs -source",Sinead Cruise,"Barclays <a href=""https://www.reuters.com/markets/companies/BARC.L"" target=""_blank"">(BARC.L)</a> is working on plans to save as much as 1 billion pounds ($1.25 billion), which could involve cutting as many as 2,000 jobs, mainly in the British bank's back offi…",https://www.reuters.com/business/finance/barclays-working-125-bln-cost-plan-could-cut-up-2000-jobs-source-2023-11-23/,2023-11-23T16:43:34Z
13,Chicago Tribune,"Man, 30, seriously wounded overnight in shooting on Far South Side, police say",Deanese Williams-Harris,"Shortly after 3:30 a.m. Thursday, the victim was walking in the 1400 block of West 112th Place when he heard shots and felt pain.",https://www.chicagotribune.com/news/breaking/ct-far-south-side-shooting-20231123-abo7zuqitzaqtb7ytkr477savi-story.html,2023-11-23T16:40:27Z
14,Chicago Tribune,Thanksgiving forecast: Sunny conditions expected with highs in mid 40s,Deanese Williams-Harris,Current morning conditions at Midway Airport is a few clouds at 40 degrees. At O’hare International Airport temperatures registered at 38 degrees.,https://www.chicagotribune.com/weather/ct-thanksgiving-forecast-40s-20231123-jrqkdcvvejhj5o6a7h7rzvv2we-story.html,2023-11-23T15:56:37Z
15,Chicago Tribune,What does Sam Altman’s firing — and quick reinstatement — mean for the future of AI?,Chicago Tribune,"If you’re just catching up on the OpenAI saga and what’s at stake for the artificial intelligence space as a whole, you’ve come to the right place. Here’s a rundown of what you need to know.",https://www.chicagotribune.com/business/ct-biz-sam-altman-ai-20231123-2g37rwaqwrbenihfsxgkcgjcfu-story.html,2023-11-23T15:10:28Z
16,Chicago Tribune,"To save the climate, the oil and gas sector must slash planet-warming operations, report says",Sibi Arasu,"The oil and gas sector, one of the major emitters of planet-warming gases, will need a rapid and substantial overhaul for the world to avoid even worse extreme weather events fueled by human-caused climate change, according to a report released Thursday.",https://www.chicagotribune.com/nation-world/ct-aud-nw-climate-oil-and-gas-report-20231123-64wgsog5rbdrzk4dhwwfaum4by-story.html,2023-11-23T15:07:11Z
17,Chicago Tribune,Retailers are ready to kick off Black Friday just as shoppers pull back on spending,Anne D'Innocenzio,Retail executives are growing concerned with a spending slowdown that could temper sales on the day after Thanksgiving as well as throughout the holidays.,https://www.chicagotribune.com/business/ct-biz-black-friday-shopping-20231123-3ctzqkpcvnbfphvxcgercuwu5u-story.html,2023-11-23T15:04:03Z
18,Chicago Tribune,"2 fatally wounded in separate shootings Wednesday evening on South Side, Chicago police said",Deanese Williams-Harris,"Two men were fatally wounded Wednesday evening in separate shootings on the South Side, police said.",https://www.chicagotribune.com/news/breaking/ct-chicago-shootings-fatal-20231123-hsdllvukrbhjfejrbi44ydv7oe-story.html,2023-11-23T14:49:14Z
19,Chicago Tribune,"4 takeaways from the Chicago Blackhawks’ 7-3 loss, including Bedard vs. Fantilli Part I and the ‘A-Teens’ power play debut",Phil Thompson,No reason to dwell on Wednesday’s disastrous defense when the Chicago Blackhawks got a first glimpse at their (maybe) power play of the future.,https://www.chicagotribune.com/sports/blackhawks/ct-chicago-blackhawks-connor-bedard-adam-fantilli-20231123-gu2s6x4bjzhopaqagoe4ofjgmi-story.html,2023-11-23T14:19:29Z
20,Reuters,Don't press 'pandemic panic button' scientists caution on China pneumonia report,Jennifer Rigby,"Leading scientists urged caution over fears of another pandemic on Thursday after the World Health Organization requested more <a href=""/world/china/who-asks-china-details-respiratory-illness-outbreaks-2023-11-23/"">information</a> from China on a rise of resp…",https://www.reuters.com/business/healthcare-pharmaceuticals/dont-press-pandemic-panic-button-scientists-caution-china-pneumonia-report-2023-11-23/,2023-11-23T14:12:09Z
21,The Wall Street Journal,Return to Work Coming for Your Pandemic-Era Home...,Libertina Brandt,"Return to Work Coming for Your Pandemic-Era Home...

 
 
 
 (Second column, 8th story, link)

 

 

 
 Related stories:Market slump in five charts...

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",https://www.wsj.com/real-estate/return-to-work-is-coming-for-your-pandemic-era-home-aa127a44,2023-11-23T13:46:38Z
22,The Wall Street Journal,Bankman-Fried's Life Behind Bars: Crypto Tips and Paying With Fish...,"James Fanelli, Corinne Ramey","Bankman-Fried's Life Behind Bars: Crypto Tips and Paying With Fish...

 
 
 
 (Second column, 11th story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",https://www.wsj.com/finance/currencies/sam-bankman-frieds-life-behind-bars-crypto-tips-and-paying-with-fish-858097c6,2023-11-23T13:46:38Z
23,The Wall Street Journal,2024 E-Ray: The Quickest 'Vette Ever...,Dan Neil,"The fastest-off-the line production Corvette combines a naturally aspirated V8 with all-electric front-wheel propulsion—and redefines what it feels like to drive a ’Vette, writes Dan Neil.",https://www.wsj.com/lifestyle/cars/2024-corvette-e-ray-review-the-quickest-vette-ever-88a0fc98,2023-11-23T13:46:38Z
24,Chicago Tribune,"5 teens, including 15-year-old boy, wounded in drive-by shooting overnight, cops say",Deanese Williams-Harris,"Shortly before 12:15 a.m., the group of teenagers were walking in the 2000 block of West Monroe Street when someone inside a vehicle open fire, striking the teens near the United Center, police said.",https://www.chicagotribune.com/news/breaking/ct-chicago-shooting-violence-20231123-5zbxyc2fhzhcrpfu26e2enxp4u-story.html,2023-11-23T13:31:24Z
25,Chicago Tribune,"What’s J.J. McCarthy’s secret to staying focused? Daily meditation, says the Michigan QB and Nazareth alumnus.",Larry Lage,This week in particular — with a matchup vs. archrival Ohio State coming up Saturday — Michigan QB J.J. McCarthy says his meditation routine helps tremendously.,https://www.chicagotribune.com/sports/college/ct-jj-mccarthy-michigan-ohio-state-20231123-ig4ogczm5vfsncof2dnr7p34we-story.html,2023-11-23T12:00:00Z
26,Chicago Tribune,Will Zach LaVine be traded before the deadline? What should the Chicago Bulls get in return? 6 trade rumor mill questions.,Julia Poe,"What to expect with a possible Zach LaVine trade, including a timeline for the future and what the Chicago Bulls could receive in return.",https://www.chicagotribune.com/sports/bulls/ct-chicago-bulls-zach-lavine-demar-derozan-questions-20231123-yssatzdsmnar7hu2qpgyoxubum-story.html,2023-11-23T12:00:00Z
27,Chicago Tribune,Kellie O’Connell: Helping feed our neighbors — including our new arrivals — defines us as Chicagoans,Kellie O’Connell,Our food programs at Chicago's Nourishing Hope are serving more people today than we did at the height of the pandemic.,https://www.chicagotribune.com/opinion/commentary/ct-opinion-chicago-hunger-food-insecurity-assistance-migrants-20231123-mr6xvejejbhfdk6eij6rpanhhu-story.html,2023-11-23T11:00:00Z
28,Chicago Tribune,Editorial: Abe Lincoln‘s generous gift: A day for Americans to give thanks—and eat turkey,The Editorial Board,Abraham Lincoln helped set the Thanksgiving table.,https://www.chicagotribune.com/opinion/editorials/ct-editorial-thanksgiving-abraham-lincoln-turkey-dinners-governor-pritzker-page-20231123-ba55bhx7pbbetnpqltw4utskkq-story.html,2023-11-23T11:00:00Z
29,Chicago Tribune,Letters: Our nation would be wise to be thankful for its immigrants,Chicago Tribune,"From the pilgrims to the present day, it is those who have come before us that have helped make our country.",https://www.chicagotribune.com/opinion/letters/ct-letters-vp-112323-20231123-j55fyrdobjcobhfzl7rvzsdn74-story.html,2023-11-23T11:00:00Z
30,Chicago Tribune,David McGrath: I give thanks for these fine Americans,David McGrath,Here is a Top 10 list of people (and a radio station) for which I am grateful.,https://www.chicagotribune.com/opinion/commentary/ct-opinion-gratitude-tom-skilling-fannie-willis-alvin-bragg-letitia-james-20231123-uebseposhjejzdmd35y3xfenci-story.html,2023-11-23T11:00:00Z
31,Chicago Tribune,Editorial: Our thanks to Chicago firefighters and their families,The Editorial Board,"Four Chicago firefighters have lost their lives on the job in 2023, the most in a single year since 1998. What would we do without them? We offer thanks.",https://www.chicagotribune.com/opinion/editorials/ct-editorials-firefighters-drew-price-sacrifice-thanksgiving-20231123-ly2y6lzmpnhnnl6kgs4pyz4ajm-story.html,2023-11-23T11:00:00Z
32,Chicago Tribune,"Soot pollution from coal-fired power plants is more deadly than soot from other sources, study shows",Michael Hawthorne,"Only Pennsylvania, New York and Ohio recorded more deaths associated with coal plant pollution than the 25,000 deaths in Illinois during the period studied.",https://www.chicagotribune.com/news/environment/ct-coal-plant-soot-deaths-20231123-qmwgqhaf2ba53fa6fijoubz3wa-story.html,2023-11-23T11:00:00Z
33,Chicago Tribune,Descendant of Holocaust survivors forms friendship with Muslim refugee and shows ‘what’s possible in the world’,Angie Leventis Lourgos,"One is a devout Muslim who fled religious persecution in Myanmar, arriving in Chicago as a refugee. The other is a Jewish descendent of Holocaust survivors.",https://www.chicagotribune.com/people/ct-muslim-refugees-jewish-sponsor-follow-20231123-b6t5cxeiebc7jp5livkmudfgzi-story.html,2023-11-23T11:00:00Z
34,Chicago Tribune,Ask Amy: 54-year-old mother wants another child,Amy Dickinson,"Dear Amy: At 54, my mother, already blessed with two academically accomplished children in the eighth and 12th grades, says she wants to have a third child.",https://www.chicagotribune.com/advice/ask-amy-dickinson-parenting-20231123-o7fawp7qqffuhak3jb7g5kycxe-story.html,2023-11-23T09:30:00Z
35,The Wall Street Journal,We Should All Give Thanks for Taylor Swift,Peggy Noonan,"She brings joy, jobs and happy feet everywhere she goes. She’s the best thing happening in America.",https://www.wsj.com/articles/we-should-all-give-thanks-for-taylor-swift-time-person-of-the-year-48d3b85a,2023-11-23T03:25:50Z
36,Chicago Tribune,"Zach Edey’s 28 points, 15 boards power No. 2 Purdue men’s basketball past No. 4 Marquette for Maui Invitational title",Kalani Takase,Zach Edey had 28 points and 15 rebounds to carry No. 2 Purdue to a 78-75 win over No. 4 Marquette in the championship game of the Maui Invitational.,https://www.chicagotribune.com/sports/college/ct-t25-purdue-marquette-20231123-tyfn3nanbjeqfedf3irvf5ylqm-story.html,2023-11-23T03:20:26Z
37,Chicago Tribune,Grateful for a new home: Community members embrace migrants as many find meaning in their first Thanksgiving celebration in Chicago,"Laura Rodríguez Presa, Alysa Guffey",Maria Goitia and her family celebrated their first American Thanksgiving grateful for the help they've received since leaving their native Venezuela.,https://www.chicagotribune.com/news/ct-migrants-celebrate-thanksgiving-first-time-home-chicago-20231123-q7uzeovzy5dllctucn2z6hhv3q-story.html,2023-11-23T01:02:13Z
38,Chicago Tribune,Grateful for a new home: Community members embrace migrants as many find meaning in their first Thanksgiving celebration in Chicago,"Laura Rodríguez Presa, Alysa Guffey",Maria Goitia and her family celebrated their first American Thanksgiving grateful for the help they've received since leaving their native Venezuela.,https://www.chicagotribune.com/news/ct-migrants-celebrate-thanksgiving-first-time-home-chicago-20231123-q7uzeovzy5dllctucn2z6hhv3q-story.html,2023-11-23T01:02:13Z
39,Chicago Tribune,"Colts owner Jim Irsay says police pulled him over because he’s a ‘rich, white billionaire’",Chicago Tribune,"Indianapolis Colts owner Jim Irsay told HBO Sports his arrest for operating a vehicle while intoxicated nearly a decade ago occurred because of police prejudice against “a rich, white billionaire.”",https://www.chicagotribune.com/sports/breaking/jim-irsay-police-20231123-2sqdhwm5srb7joo6kqmkn2zvci-story.html,2023-11-23T00:31:38Z
40,Chicago Tribune,Zach LaVine sits out against Oklahoma City Thunder with right foot sprain: ‘I try to play through everything’,Julia Poe,Zach LaVine was unavailable for Wednesday's game against the Oklahoma City Thunder with a right foot injury.,https://www.chicagotribune.com/sports/bulls/ct-chicago-bulls-zach-lavine-oklahoma-city-thunder-injury-20231123-56fsfn3pizfcvhsrypvkqeghge-story.html,2023-11-23T00:29:17Z
41,Chicago Tribune,Three arrested after armed robbery attempt at Midlothian liquor store,Ilana Arougheti,"Midlothian police responded to Emporium Liquor at about 10:15 a.m. Wednesday to find two people leaving the store, one carrying merchandise and another with a ski mask.",https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-three-arrested-armed-robbery-emporium-liquor-midlothian-st-1123-20231123-kfvwfjxqofealmye76jkmgbnmq-story.html,2023-11-23T00:09:55Z
42,Chicago Tribune,"As COVID numbers rise, public health officials call for vigilance against respiratory viruses",Ilana Arougheti,IDPH also asks residents to skip holiday gatherings if they have symptoms of respiratory infections.,https://www.chicagotribune.com/news/breaking/ct-respiratory-viruses-hospitalizations-20231122-dt5xg4yhqnhbjfqmxw2ik4r6xe-story.html,2023-11-22T23:51:21Z
43,Reuters,Sam Altman's ouster was precipitated by letter to board about AI breakthrough,"Anna Tong, Jeffrey Dastin, Krystal Hu","Ahead of OpenAI CEO <a href=""/technology/ousting-ceo-sam-altman-chatgpt-loses-its-best-fundraiser-2023-11-18/"">Sam Altman’s four days in exile</a>, several staff researchers sent the board of directors a letter warning of a powerful artificial intelligence di…",https://www.reuters.com/technology/sam-altmans-ouster-openai-was-precipitated-by-letter-board-about-ai-breakthrough-2023-11-22/,2023-11-22T23:07:38Z
44,Chicago Tribune,Chicago Bears and quarterback Justin Fields look to better handle Minnesota Vikings pressure in rematch,Colleen Kane,Justin Fields is excited to show how he and his teammates can finish against the Minnesota Vikings. He didn’t get the chance last time around.,https://www.chicagotribune.com/sports/bears/ct-chicago-bears-justin-fields-vikings-20231122-hch43in4zvacveeavs6ujnnrgq-story.html,2023-11-22T23:01:57Z
45,Chicago Tribune,"Veterinarians warn of mystery illness affecting dogs in Illinois, other states",Ilana Arougheti,Experts warn that the unnamed illness has shown to be resistant to medication in some canines.,https://www.chicagotribune.com/news/breaking/ct-dog-respiratory-disease-cases-illinois-20231122-kzq56o53azbhdgmb6qqogqukxu-story.html,2023-11-22T23:01:33Z
46,Chicago Tribune,"Stellantis recalls more than 32,000 hybrid Jeep Wrangler SUVs",Chicago Tribune,The recall covers 2021-2024 models of the Jeep Wrangler 4xe SUVs. All other Wrangler models have been deemed safe by Stellantis.,https://www.chicagotribune.com/autos/stellantis-jeep-wrangler-recall-20231122-aaiasq2icvfhxok6onudrslaya-story.html,2023-11-22T21:54:31Z
47,Chicago Tribune,Track coach pleads guilty tricking women into sending him nude photos,Chicago Tribune,"He previously worked as a track and field coach at several academic institutions, including Northeastern University, Penn State University, Illinois Institute of Technology, University of Tennessee and Concordia University Chicago.",https://www.chicagotribune.com/news/criminal-justice/steve-waithe-20231122-5mapeyeor5fehp3lwld45oylku-story.html,2023-11-22T21:50:17Z
48,Chicago Tribune,"U.S. egg producers conspired to fix prices, Illinois jury finds",Isabella Volmert,Several large food manufacturing companies including Kraft Foods Global Inc. and The Kellogg Company alleged in the lawsuit that producers used various means to increase the prices of eggs and egg products during the 2000s.,https://www.chicagotribune.com/business/ct-biz-egg-pricing-lawsuit-ap-20231122-yyqioo3n4jbgnodq33mwyceyie-story.html,2023-11-22T21:23:42Z
49,Chicago Tribune,Burger King tycoon recounts morning FBI showed up at his Texas doorstep with questions about Ald. Ed Burke: ‘I was relieved when they said I’m not in trouble’,"Jason Meisner, Ray Long, Megan Crepeau","On the day the FBI raided then-Ald. Edward Burke’s City Hall offices, federal agents appeared on the doorstep of a Texas businessman",https://www.chicagotribune.com/news/criminal-justice/ct-ald-ed-burke-corruption-trial-day-8-20231122-loyl53p36ja6dnyupbgovrivva-story.html,2023-11-22T20:49:45Z
50,Chicago Tribune,"Shelley Howard, graphic artist whose posters promoted Jam Production concerts, dies at 76",Bob Goldsborough,"Shelley Howard, who designed rock concert posters for Jam Productions, dies at 76.",https://www.chicagotribune.com/news/obituaries/ct-shelley-howard-obituary-20231122-qvzc2a2fr5gvxooch6iu4teqqa-story.html,2023-11-22T20:14:58Z
51,Chicago Tribune,‘I’ve seen it all.’ Coby White focuses on consistency amid Zach LaVine trade rumors and Chicago Bulls roster turmoil.,Julia Poe,Coby White is familiar with Zach LaVine trade rumors and Chicago Bulls roster turmoil — but he doesn't want either to affect this season on the court.,https://www.chicagotribune.com/sports/bulls/ct-chicago-bulls-coby-white-zach-lavine-20231122-posa2zhgtjf6jh5n33wbeescj4-story.html,2023-11-22T20:00:44Z
52,Chicago Tribune,Afternoon Briefing: Investigation underway after man and 6-year-old boy found deceased,Chicago Tribune staff,"Good afternoon, Chicago. Here's what is happening today.",https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-nov22-20231122-y672tttopzcijl6mso3l63ihii-story.html,2023-11-22T19:56:15Z
53,Chicago Tribune,Daryl Hall gets restraining order against John Oates in Hall & Oates legal battle,Ethan Shanfeld,Hall & Oates are embroiled in a confidential legal battle that has led to Daryl Hall getting a restraining order against his former music partner John Oates.,https://www.chicagotribune.com/entertainment/daryl-hall-john-oats-hall-legal-20231122-6qovphtd5ffzfnvj5nwczqe7jm-story.html,2023-11-22T19:10:55Z
54,Chicago Tribune,Aaron Rodgers still aiming to return to New York Jets practice around his 40th birthday next month,Dennis Waszak Jr.,Aaron Rodgers hopes to celebrate his 40th birthday by returning to practice with the New York Jets.,https://www.chicagotribune.com/sports/breaking/ct-aaron-rodgers-achilles-20231122-qd6rivt3uvfunfhzt65ti7cay4-story.html,2023-11-22T19:07:37Z
55,Chicago Tribune,"Editorial: At Berlin, a historic nightclub and progressive icon, the end comes at the hands of self-described progressives",The Editorial Board,"Chicago's Berlin was a cool, progressive nightclub dedicated to tolerance. It was destroyed by radical over-reach.",https://www.chicagotribune.com/opinion/editorials/ct-editorial-berlin-closing-unions-club-belmont-avenue-20231122-serqjd4atratdh32lj5ss7zsra-story.html,2023-11-22T18:46:14Z
56,Chicago Tribune,AVP to launch new professional league next year,Michael Hixon,"The new league, which will feature eight teams nationwide, will become AVP’s new premier beach volleyball competition, with the traditional AVP Pro Series being renamed the AVP Heritage Series.",https://www.chicagotribune.com/sports/ct-avp-launch-new-professional-league-next-year-20231122-uo5wepd7tvflzggagx6zkberou-story.html,2023-11-22T17:40:01Z
57,Chicago Tribune,Terry Savage: Holiday season is for giving to those in need,Terry Savage,"It’s easy to overlook the plight of so many Americans just hoping to keep the heat on and a roof over their heads, not only in the holiday season but year-round.",https://www.chicagotribune.com/business/success/ct-terry-savage-holiday-season-giving-those-in-need-20231122-gjjzgnv5hfhmpicl3rljvidepm-story.html,2023-11-22T17:30:32Z
58,The Wall Street Journal,"Tech, Media & Telecom Roundup: Market Talk",,,https://www.wsj.com/finance/stocks/tech-media-telecom-roundup-market-talk-b18a0819,2023-11-22T17:29:00Z
59,Chicago Tribune,Illinois Ford dealers win ruling against automaker’s EV certification program requiring pricey fast chargers,Robert Channick,"The Illinois Motor Vehicle Review Board ruled in favor of the dealers in their complaint against Ford, which alleged the program violated state law by cutting off EV products to those that didn’t pay up to participate.",https://www.chicagotribune.com/business/ct-biz-illinois-ford-dealers-ruling-ev-certification-chargers-20231122-ia47hlj2szfyxlzrweadbcwanm-story.html,2023-11-22T16:44:06Z
60,Reuters,FAA approves Boeing to start 737 MAX 10 certification flight tests,Valerie Insinna,"Boeing <a href=""https://www.reuters.com/markets/companies/BA.N"" target=""_blank"">(BA.N)</a> said on Wednesday that the U.S. aviation regulator has cleared it to begin certification flight testing of its 737 MAX 10, the largest version of its bestselling jet ai…",https://www.reuters.com/business/aerospace-defense/faa-approves-boeing-start-737-max-10-certification-flight-tests-2023-11-22/,2023-11-22T16:25:06Z
61,Chicago Tribune,Where can you shop on Black Friday? Here’s what’s open — and when,Francisco Guzman,"A number of stores that close on Thanksgiving, including Walmart and Target, reopen early Friday as the holiday shopping season begins in earnest.",https://www.chicagotribune.com/business/ct-biz-us-black-friday-store-hours-ap-20231122-rluoa7frzzcalakndpmkwb2ioa-story.html,2023-11-22T16:24:36Z
62,Chicago Tribune,Black Friday is almost here. What to know about the holiday sales event’s history and evolution,Wyatte Grantham-Philips,"While Black Friday may no longer look like the crowd-filled, in-person mayhem that it was just decades ago the holiday sales event is still slated to attract millions of consumers.",https://www.chicagotribune.com/business/ct-biz-black-friday-explainer-ap-20231122-67c6rcjjgzb55f5vwl2cqzjuq4-story.html,2023-11-22T16:15:14Z
63,Chicago Tribune,OpenAI brings back Sam Altman as CEO just days after his firing unleashed chaos,Matt O'Brien,"The ousted leader of ChatGPT maker OpenAI is returning to the company that fired him just days ago, culminating a short but chaotic power struggle that shocked the tech industry and underscored the conflicts around how to safely build artificial intelligence.",https://www.chicagotribune.com/business/ct-biz-openai-sam-altman-ceo-20231122-auvl3zq6fbhsrjadtkvdecdska-story.html,2023-11-22T15:57:25Z
64,Chicago Tribune,"3 wounded overnight in 2 separate shootings in South Shore neighborhood, cops say",Deanese Williams-Harris,"A 43-year-old man, and two women were wounded overnight Tuesday in two separate shootings in the South Shore neighborhood, Chicago police said.",https://www.chicagotribune.com/news/breaking/ct-chicago-gun-violence-20231122-rahfananpjdxzkctgxud3yghoi-story.html,2023-11-22T15:30:55Z
65,Chicago Tribune,"At least 2 armed robberies reported overnight within 10 minutes of each other, cops say",Deanese Williams-Harris,"Three victims were robbed by gunmen overnight within 10 minutes of each other on the Northwest Side, police said.",https://www.chicagotribune.com/news/breaking/ct-armed-robberies-reported-20231122-zl6t3nfcsfd4rlfajx2s7k6uce-story.html,2023-11-22T15:07:13Z
66,Chicago Tribune,Organized program for Small Business Saturday in Libertyville brings increase business for Main Street establishments,Chloe Hilles,"For Main Street retailers in Libertyville, the Saturday after Thanksgiving kicks off what they hope to be a busy holiday season.",https://www.chicagotribune.com/suburbs/lake-county-news-sun/ct-lns-lake-county-small-business-saturday-st-1122-20231122-mtvc52nrk5gqzm73lsixtyhhgq-story.html,2023-11-22T15:03:19Z
67,The Wall Street Journal,UNITED Weighs Using Passenger Data to Sell Targeted Ads...,Patience Haggin,"UNITED Weighs Using Passenger Data to Sell Targeted Ads...

 
 
 
 (Third column, 4th story, link)

 

 

 
 Related stories:Record crowds take to air and roads for Thanksgiving...
FLL Most Delayed Airport, DAL Most Cancellations...",https://www.wsj.com/business/airlines/united-airlines-weighs-using-passenger-data-to-sell-targeted-ads-21ddb447,2023-11-22T14:55:37Z
68,Chicago Tribune,‘Rustin’ review: Colman Domingo takes care of business in civil rights activist biopic on Netflix,Michael Phillips,"In Netflix's ""Rustin,"" as civil rights strategist Bayard Rustin, Colman Domingo scales everything beautifully, intimately.",https://www.chicagotribune.com/entertainment/movies/sc-ent-rustin-movie-review-1122-20231122-fm27233ygrgqxct3agl3qjb2da-story.html,2023-11-22T14:50:39Z
69,Chicago Tribune,Death investigation underway after a man and 6-year-old boy discovered deceased in Logan Square neighborhood,Deanese Williams-Harris,"Shortly after 10:15 p.m., officers responded to a residence in the 3500 block of West Lyndale Street and discovered a boy and a man in an advanced state of decomposition inside of a bedroom.",https://www.chicagotribune.com/news/breaking/ct-death-ivestigation-boy-man-20231122-w4fxwc2itffmpnnnkalffxx5sm-story.html,2023-11-22T14:16:56Z
70,Chicago Tribune,Harvard Health: How long does it take to heal cellulitis on legs?,"Julie Corliss, Harvard Health Blogs","Cellulitis is an infection of the deep layers of the skin. It develops when bacteria enter through a cut, bite, or wound -- including tiny breaks in cracked, dry skin.",https://www.chicagotribune.com/people/health/harvard-health-how-long-heal-cellulitis-legs-20231122-2kgthntwa5d4dliry6dbbz3ime-story.html,2023-11-22T14:00:00Z
71,Chicago Tribune,"Extra-alarm fire destroys warehouse overnight in Logan Square neighborhood, officials say",Deanese Williams-Harris,"Firefighters were called shortly before midnight to the 2700 block of North Pulaski Road where a fire broke out in the back of a warehouse, officials said.",https://www.chicagotribune.com/news/breaking/ct-extra-alarm-blaze-20231122-uquir6fujbfbxalspte45mbar4-story.html,2023-11-22T13:57:28Z
