,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector
15,Aldermen block plan to put sanctuary city question to voters,-0.09449627238791436,"Aldermen blocked a measure Thursday to place a symbolic question on the March primary ballot asking voters whether to end Chicago’s status as a sanctuary city, the likely end to a monthslong saga driven by opponents of Mayor Brandon Johnson seeking to take a …",0.18359810583933722,Alice Yin,0.23041376131004654
16,Elgin teen charged with DUI/drugs in crash that killed her sister and another South Elgin High School student,-0.04185680492082611,Kane County prosecutors say the Elgin teen behind the wheel in a Bartlett crash that killed her sister and another South Elgin High School student did not have a valid license and was driving under the influence of drugs.,0.19754831601494516,Courier-News Staff,0.17062311166228028
17,Does trading Zach LaVine to the Los Angeles Lakers make sense? Chicago Bulls prepare for NBA trade window to open.,-0.12173365475609899,Zach LaVine’s departure already has taken on a tone of inevitability in Chicago. Bulls fans are less focused on the “if” than the “when” and “where.”,0.14751574816182256,Julia Poe,0.13841974962269887
18,Review: Doja Cat wraps up her Scarlet Tour in Chicago — a new artist with a veteran’s confidence,-0.02131450065644458,"To her credit, Doja Cat has made the transition from TikTok star to arena headliner with the same kind of bravado that inform her posts.",0.10347827704390511,Bob Gendron,0.058861470097326674
19,"Like the flip of a switch, Corinne Reed goes fast to spark St. Charles East’s turnaround. ‘She can do it all.’",-0.028051465866155922,"Heading into Wednesday’s 43-36 win at West Aurora, Corinne Reed’s 11.7 points, 6.7 rebounds, 2.7 assists and 0.7 blocked shots led the Saints.",0.06841542008623946,Paul Johnson,0.11391074988932814
20,Ohio State’s Marvin Harrison Jr. is the 2023 winner of the Chicago Tribune Silver Football as the Big Ten’s best player,-0.11764116282574832,Marvin Harrison Jr. is the 23rd Ohio State player — tops among Big Ten schools — to win the Chicago Tribune Silver Football in the award’s 99-year history.,0.28217520646285266,Joel Boyd,0.2635722183767939
21,Steve Reaven’s boys basketball rankings and player of the week for Lake County,-0.03835887584136799,Nehemiah Dunn helps Waukegan get back into the top 10 as Warren tightens its grip on No. 1.,0.09784109692554921,Steve Reaven,0.07450309064734029
22,What Walmart Did to Make Stores Autism-Friendly,-0.016609626240096986,Companies create calm spaces for customers who can have sensory overload,0.02375345875043422,Tali Arbel,0.04948625894030556
23,Gregg Voss’ Daily Southtown girls basketball rankings and player of the week,0.003915419394616038,"Lincoln-Way East takes over top spot, while Mother McAuley and Bloom move into rankings. Marian Catholic’s Madison Davis is the player of the week.",0.004825381620321423,Gregg Voss,-0.002447102699079551
24,World in Disarray? Longtime Diplomat Says It's Worse Than That...,-0.03794121812097728,"World in Disarray? Longtime Diplomat Says It's Worse Than That...

 
 
 
 (First column, 1st story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",0.19382063631201163,nan,0.05161348305409774
25,"George McGinnis, a Hall of Fame forward and 2-time ABA champion, dies at 73",-0.0265164147131145,"George McGinnis, a Hall of Fame forward who was a two-time ABA champion and three-time All-Star in the NBA and ABA, died Thursday. He was 73.",0.023791308514773846,Michael Marot,0.07425681108725257
26,Grayslake North’s Uros Mitrovic ‘found people pretty fast’ through basketball after moving to US. Success too.,-0.035467886802507564,"Uros Mitrovic, who was already fluent in English when he moved to the U.S. in spring 2022, was proficient in another language too.",0.07946753286523744,Steve Reaven,0.041555417818017304
27,Yannick Noah will captain France’s men’s wheelchair tennis team at Paralympic Games in Paris,-0.05989412555936724,Yannick Noah has been appointed captain of France’s men’s wheelchair tennis team and will lead the squad at the Paris Paralympic Games next year.,0.21459418663289398,Chicago Tribune,0.04426876042271033
28,Lawyers for ex-Ald. Ed Burke will get chance to make case to the jury as closings at corruption trial continue,-0.09705861439579166,Prosecutors Thursday are expected to highlight former Ald. Ed Burke’s alleged attempts to shake down the developers leading the $600 million Old Post Office renovation,0.1481122847108054,"Jason Meisner, Ray Long, Megan Crepeau",0.21695081269717775
29,Naperville North’s Kendall Johnson is top scorer and captain in first season as starter: ‘She was a sponge’,-0.07356558402534574,Naperville North senior Kendall Johnson spent most of the past two seasons rooted to the bench. But she wasn’t rotting away.,0.1252255435101688,Matt Le Cren,0.05866128520574421
30,"To Get Your Positive Review, Businesses Bully, Badger and Guilt-Trip...",0.0034507907257648185,"Companies appreciate your candid feedback, but oh, please do make it nice. ‘He kind of sat over our shoulder as we did it.’",0.055352516821585596,wsj,0.039525740838143975
31,News Publishers See GOOGLE AI Search Tool as Traffic-Destroying Nightmare...,0.039976867381483316,Tech giant’s AI-powered search product is being tested on roughly 10 million users; publishers rely on Google for traffic and see a gathering storm,0.07218574418220669,wsj,0.1021701233330532
32,"Daywatch: Burke used his power ‘to punish,’ prosecutors say in closing arguments",-0.05300160314072855,"Good morning, Chicago. Here are some of the top stories you need to know to start your day.",0.12793553317897022,Chicago Tribune staff,0.11381844698917121
33,Are the Chicago Bears suddenly one of the NFC’s better teams? 12 eye-catching numbers for their Week 15 game against the Cleveland Browns.,-0.08795691112754866,"Kyle Orton's franchise record is not yet in jeopardy. But Justin Fields' 93 pass attempts since his last interception is a sign of progress for the quarterback, who returns this weekend to the site of his first career start.",0.21676017908612266,Dan Wiederer,0.1494440900933114
34,Bowl season is complicated by opt-outs and coaching changes. But here’s a reason to watch all 42 games — plus predictions.,-0.049003236228600144,"When you’re down to about 40 college football games before the season ends, each should be savored.",0.1280966546619311,Ralph D. Russo,0.09857350236234197
35,Column: Creating a Chicago sports mixtape of favorite songs from athletes and sports personalities,-0.01187323524209205,"For many people, music is critical to setting the mood or getting them out of one. Throughout 2023, Shakeia Taylor asked Chicago athletes and those she interviewed around the sports industry about the music that motivates them, then created a playlist.",0.20559614850208163,Shakeia Taylor,0.18638420900970232
36,"Best dance in Chicago for 2023: Top 10 reimagined fairy tales, notable shows and standout performances",-0.1277863325085491,"More than a handful of the year’s highlights leaned hard into storytelling, including the Joffrey's ""Little Mermaid"" and ""Frankenstein.""",0.13140853615186643,Lauren Warnecke,0.10782702339929529
37,‘The Crown’ Season 6 review: The final episodes shift focus to William and Kate,-0.03131251427112147,The series also wraps with a look at Queen Elizabeth contemplating — and rejecting — minor attempts to modernize the monarchy.,0.05429020567680709,Nina Metz,0.041018312018422876
38,"Clarence Page: When it comes to slogans, pro-Palestinian activists should stick to those whose meanings aren’t disputed",-0.051367848296649754,"We should all be able to agree that ""from the river to the sea"" is a slogan to be avoided by pro-Palestinian activists.",0.052112021861830726,Clarence Page,0.05434475786751136
39,Willie Wilson: The true meaning of Christmas,0.04485704885883024,Tradition and commercialization has perverted the original intent of Christmas.,0.0008539838745491579,Willie Wilson Wilson,0.05476178735261783
40,Ted Deutch: Stop the global gaslighting of Jews and Israel,0.01983712766377721,"When Jews are told by others that what they have experienced is not antisemitism, that is gaslighting.",0.005300242803059518,Ted Deutch,0.011086850659921765
41,Letters: Chicago needs a better program to address idling trucks and cars,-0.1374025719705969,"Chicago needs a program to address idling violations like the one New York City adopted, whereby residents send videos of idling vehicles to the city",0.15868685487657785,Chicago Tribune,0.14487976534292102
42,Anti-Cruelty Society sees uptick in adoptions after waiving fees for December to reduce overcrowding,0.04771701991558075,Nearly 160 animals have been adopted from the Anti-Cruelty Society animal shelter since it waived adoption fees for the month of December.,0.08190299047419103,Alysa Guffey,0.0840395060076844
43,Anti-Cruelty Society sees uptick in adoptions after waiving fees for December to reduce overcrowding,0.04771701991558075,Nearly 160 animals have been adopted from the Anti-Cruelty Society animal shelter since it waived adoption fees for the month of December.,0.08190299047419103,Alysa Guffey,0.0840395060076844
44,Ask Amy: Mother-in-law keeps asking for money,-0.04949449992273003,"Dear Amy: Her mother has a good career and makes very good money at her job. However, she has very little to show for it, with no savings or home ownership.",0.10239931313844863,Amy Dickinson,0.08680513524450362
45,Dollar Hits Four-Month Low Against Yen After Fed Officials Project Rate Cuts,0.01823211001465097,"Treasury yields drop, pushing down global borrowing costs; Japanese yen surges",0.02156735718017444,Megumi Fujikawa,-0.012451586189854424
46,"Giannis Antetokounmpo scores franchise-record 64 points, Bucks beat Pacers 140-126",0.012098673963919282,Giannis Antetokounmpo scored a franchise-record 64 points to help the Milwaukee Bucks outscore the Indiana Pacers 140-126 on Wednesday night.,0.060521742183482274,Jim Hoehn,0.026494230231037363
47,Sophomore point guard Quinn Arundel turns up pace as Mother McAuley rolls past Marist. ‘She’s huge for us.’,-0.031017324363347143,Quinn Arundel scored 15 points for the Mighty Macs in a 51-38 win at Marist that had a playoff atmosphere despite being before the holidays.,0.06061813572887331,Gregg Voss,0.06358196312794462
48,"Basketball and local scores for the Southland, Aurora, Elgin, Naperville and Lake County",-0.0882763636764139,"Results and highlights of high schools and local colleges from the Southland and Aurora, Elgin, Naperville and Lake County coverage areas.",0.2018244123319164,From Staff Reports,0.12498320377562777
49,Chicago State men’s basketball stuns No. 25 Northwestern 75-73 behind 30 points from Wesley Cardet Jr.,-0.07697266776813194,Wesley Cardet Jr. scored 30 points and Chicago State stunned No. 25 Northwestern in a 75-73 upset.,0.11714585439767689,Matt Carlson,0.14408804546110332
50,Federal regulators seek to force Starbucks to reopen 23 stores,-0.07465433425386436,Federal labor regulators accused Starbucks on Wednesday of illegally closing 23 stores to suppress organizing activity and sought to force the company to reopen them.,0.02427228697342798,Noam Scheiber,0.08249958234955557
51,"Andrew’s James Gallagher makes name with defense and rebounds. And, now, scoring too? ‘I just want to do my part.’",-0.08078923739958555,James Gallagher scored 16 points in leading the Thunderbolts to a 64-46 win over host Tinley Park in a matchup between crosstown rivals.,0.07285097714338917,Jeff Vorva,0.13732229871675372
52,Photos: Global strike calls for ceasefire in Israel-Hamas war,-0.059673577663488686,"Hundreds of Palestinian Americans and allies gathered in Bridgeview, also known as “Little Palestine,” in support of Worldwide Call for Strike in Solidarity with Gaza. According to the strike organizers, more than 200 businesses around the Chicago area were c…",0.09800123766763136,"Pinar Istek, Eileen Meslar",0.1067007934616413
53,"Migrants arriving by busload in Rosemont and Cicero are sent away, but welcomed in Oak Park, as suburbs respond differently to crisis",-0.07652809597493615,"That latest development reflects the varied response suburbs have taken to some 26,000 migrants arriving in Chicago in the past year and being sheltered at police stations and the airport.",0.08241729289875366,Robert McCoppin,0.12163353641926733
54,Warriors star Draymond Green suspended indefinitely by NBA,-0.07636649298365228,"Golden State Warriors forward Draymond Green was suspended indefinitely by the NBA on Wednesday, less than 24 hours after he hit Phoenix Suns center Jusuf Nurkic in the face and received a Flagrant 2 foul and ejection.",0.04454574434203096,Janie McCauley,0.1599384793516947
55,"After graduation of LSU recruit Janae Kent, Maddie Martinez takes Oak Forest into future. ‘It’s step by step.’",-0.046012151113245636,"Maddie Martinez, who is averaging 12 points for the Bengals, is the type of player who wants to get up in the morning and go work out.",0.06264244980411604,Gregg Voss,0.11859871816704981
56,"Oak Park, which has been providing shelter for migrants, will require them to move out of hotel, YMCA by Jan. 31",-0.043550314265303314,Migrants will be asked to work with a case manager or village staff to find new shelter and possibly move them to another city or state,0.14141138704871992,Robert McCoppin,0.12920865127671277
57,Mayor Brandon Johnson defends handling of environmental report at now-scrapped migrant camp,-0.029715724944253452,"Addressing reporters after a City Council meeting, the mayor said his approach to vetting the land that would have housed Chicago’s first government-run migrant camp was appropriate.",0.17498760729722562,Alice Yin,0.1418268693741993
58,Autopsy: Female found dead inside South Shore apartment was strangled,-0.01591177040245384,"The victim, who was initially unidentified, was found unresponsive inside a home on the city's South Side, authorities said.",0.06272805752814747,William Lee,0.09676489245612174
59,Family of teen killed in Hinsdale crash sues Fuller’s Car Wash,-0.028816173173254356,"The family of Sean Richards, 14, filed a lawsuit against Fuller’s Car Wash Wednesday, months after a customer’s car fatally hit Richards and crashed into a Fontano’s Subs sandwich shop.",0.05881099242833443,Jake Sheridan,0.14123395098431502
60,3 things we heard from the Chicago Bears — including Justin Fields on late hits and Cairo Santos on the NFL’s first Brazil game,-0.08105223375969217,"“It’s just kind of frustrating, but not really astonishing because it happens a lot,” Chicago Bears quarterback Justin Fields said of late hits.",0.15954086862620898,Colleen Kane,0.2326952947769314
61,Column: Will Michael Jordan and Scottie Pippen attend the Chicago Bulls Ring of Honor celebration?,-0.06883520155679435,The Ring of Honor was a great idea for the Chicago Bulls. But will Michael Jordan and Scottie Pippen attend the ceremonies after Pippen's harsh public comments about his former teammate?,0.1021650715265423,Paul Sullivan,0.13886069752334151
62,Uncontrolled Immigration Angering Voters Across Western World...,-0.017117710900492966,"Uncontrolled Immigration Angering Voters Across Western World...

 
 
 
 (Third column, 8th story, link)

 

 

 
 Related stories:NAACP Leader Blasted After Calling Migrants Rapists, Savages...",0.10725984699092805,Greg Ip,0.07269253751292126
63,Editorial: Be very afraid for Chicago’s stellar selective-enrollment schools,-0.03165363194420934,Chicago's stellar selective-enrollment schools are going to need defenders from Mayor Brandon Johnson and the Chicago Teachers Union.,0.13638759963214397,The Editorial Board,0.10370786849671276
64,Riot Fest announces dates and presale for 2024 festival,-0.020798521349206567,"According to the pre-sale website, Riot Fest will once again be in Douglass Park in the North Lawndale neighborhood.",0.033509850123664364,Doug George,0.020595588255673647
65,"Alleged Highland Park shooter’s plan to represent self is a bad idea, experts say; ‘(It’s) very consistent with psychopathy and narcissism’",-0.031054782040882856,"Pro se litigation, when someone represents themselves, is a constitutionally enumerated right, but presents unique challenges for all parties involved in a trial, according to area criminal defense attorneys.",0.08424774120794609,Chloe Hilles,0.09559765656013042
66,"Alleged Highland Park shooter’s plan to represent self is a bad idea, experts say; ‘(It’s) very consistent with psychopathy and narcissism’",-0.031054782040882856,"Pro se litigation, when someone represents themselves, is a constitutionally enumerated right, but presents unique challenges for all parties involved in a trial, according to area criminal defense attorneys.",0.08424774120794609,Chloe Hilles,0.09559765656013042
67,Gary airport expands with purchase of Griffith-Merrillville Airport,-0.04026701545808464,The Gary/Chicago International Airport has acquired the nearby Griffith-Merrillville Airport in a $1.8 million deal.,0.02214099874254316,Carole Carlson,0.01544094958808273
68,Terry Savage: The gift of organization,-0.0343566506926436,"The gift of financial peace of mind is priceless. And it all starts with organization. Instead of waking up in the middle of the night worried about money and bills, wouldn’t it be amazing to feel in control of your finances?",0.049264720699284226,Terry Savage,0.014018898247741163
69,The 'Moneyball' Firm Behind Your Chicken...,0.010063263354822993,Indiana-based Agri Stats says its number crunching helps make chicken more affordable. The government says its data lets companies collude.,0.056215326337223814,Patrick Thomas,0.04175602935720235
70,Afternoon Briefing: Closing arguments slated to begin in Burke trial,-0.06629037842503749,"Good afternoon, Chicago. Here's what is happening today.",0.07798620767425746,Chicago Tribune staff,0.09628585231257603
71,City Council sides with mayor on Chicago police contract: more money for cops but disciplinary provision rebuffed,-0.02039807557594031,Council vote means the issue will head back to arbitrator who first awarded the arbitration clause. He could send that same ruling back to aldermen within weeks.,0.12841585857677273,"Sam Charles, A.D. Quig, Alice Yin",0.14193647138017695
72,"Man critically wounded while driving Wednesday morning in West Garfield Park neighborhood, police said",-0.025302836089394987,"A man suffered a gunshot wound to the head while he was driving Wednesday morning in the West Garfield Park neighborhood, police said.",0.042919246188830584,Deanese Williams-Harris,0.19565295182110276
73,"16-year-old boy shot during attempt robbery Wednesday morning on Near West Side, cops say",-0.02937325619859621,"Shortly before 7 a.m., the boy was in the 400 block of South Western Avenue when he was approached by a robber who demanded his belongings. When the boy refused, the robber opened fire striking the teenage boy to the left arm.",0.08882416889537126,Deanese Williams-Harris,0.09362407482694834
74,Board of Ethics finds probable cause four lobbyists improperly donated to Johnson,-0.006117745360825211,"The violations do not carry a penalty for the mayor, but could mean those lobbyists lose their ability to work at City Hall.",0.0809310729673598,A.D. Quig,0.08055975288152695
75,"Woman, 34, fatally wounded Wednesday morning in Austin neighborhood, Chicago police said",-0.028621735866181552,"A 34-year-old woman was fatally wounded Wednesday morning in a domestic-related shooting on the West Side in the Austin neighborhood, police said.",0.10331289010355249,Deanese Williams-Harris,0.15940647386014462
76,Alleged Highland Park parade shooter’s father released a month early from jail for good behavior,-0.10764359770109877,"The father of the alleged Highland Park Fourth of July parade shooter was released from jail Wednesday morning after serving less than a month of his 60-day sentence due to “good behavior,” according to the Lake County sheriff’s office.",0.1751053014304489,Chloe Hilles,0.14899877764401026
77,"Yannick Ngakoue will miss the rest of the Chicago Bears season with a broken ankle, forcing a resurgent pass rush to adjust",-0.028617661768294056,Chicago Bears defensive end Yannick Ngakoue needs season-ending surgery to repair a broken ankle suffered in Sunday’s win over the Detroit Lions.,0.08164872915949672,Brad Biggs,0.11393025373399723
78,"Boy, 15, charged in Tuesday armed robbery, implicated in second armed robbery in early December, cops say",-0.07575296654249541,"The boy was arrested Tuesday shortly after 7 p.m. in the 2200 block of West Washington Boulevard after an armed robbery in the 2000 block of Madison Street. Two men, ages 38 and 44, were robbed at gunpoint, police said.",0.07163681261590682,Deanese Williams-Harris,0.10182005143724382
79,Brother of former Harvey Mayor Eric Kellogg convicted in strip club shakedown scheme,-0.020539486315101385,"Federal jury convicts Rommell Kellogg, brother of former Harvey Mayor Eric Kellogg, in yearslong shakedown of a strip club in that suburb.",0.04077174456324428,Mike Nolan,0.061490025953389704
80,The Biggest Root Cause of Crime Is Fatherlessness,-0.006889495416544378,Children are likelier to finish high school and stay out of trouble if they’re brought up by two parents.,0.010225686215562746,Jason L. Riley,0.03333853482399718
81,North Central’s Luke Lehnen resets bar for college QBs. Can Glenwood graduate do same for Cardinals?,-0.05358021077699959,"Luke Lehnen has led North Central College back to the Stagg Bowl, the NCAA Division III national final, with a season for the ages.",0.08166594221256673,Paul Johnson,0.05557584991765907
82,Closing arguments slated to begin in corruption trial of ex-Ald. Ed Burke,-0.08957950081094168,"Closing arguments are slated to begin Wednesday afternoon in the landmark racketeering trial of ex-Ald. Edward Burke, capping off a hot-button case that laid bare the inner workings of “old-school” Chicago politics",0.08359473133168649,"Jason Meisner, Megan Crepeau, Ray Long",0.13670456325053237
83,How Christmas tree farms can help wildlife,0.007462770328857005,"The ecological benefits of real Christmas trees are why many environmentalists endorse them over the fake, petroleum-based versions that are shipped from half a world away.",0.1033611360762734,Cara Buckley,0.05126607062993571
84,"Connor Bedard got the goal, but Connor McDavid got the win. 5 takeaways from the Chicago Blackhawks’ 4-1 loss in Edmonton.",-0.021859513712115586,The Chicago Blackhawks’ depleted defense was at a disadvantage against the Edmonton Oilers' Connor McDavid and Leon Draisaitl but held up better than expected.,0.15995547416969202,Phil Thompson,0.178416887531057
85,Quebec 'Language Police' Take Aim at Sneaky English Slang...,0.033833500783657655,"Quebec 'Language Police' Take Aim at Sneaky English Slang...

 
 
 
 (Second column, 10th story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",0.1063347443123348,Vipal Monga,0.052198484481777996
86,Geminids meteor shower peaks this week under dark skies,-0.09994467347860336,"The year’s best meteor shower, the Geminids, peaks this week. Skygazers may see as many as one or even two a minute streaking across dark skies.",0.13108048343565315,Marcia Dunn,0.1154664562382095
87,Oprah Winfrey painting by Chicago artist is unveiled at Smithsonian’s National Portrait Gallery,0.038727388135157526,"Painted by Chicago artist Shawn Michael Warren, it goes on display to the public Wednesday at the museum in Washington, D.C.",0.06539911119034514,Doug George,0.12499466988811037
88,"Avery Cooper’s wait is over, but Lake Zurich standout’s return from torn ACL continues: ‘You can see glimpses’",-0.05114233901258558,"Lake Zurich’s Avery Cooper, who was drawing interest from Division I programs before the injury, made her season debut on Nov. 28.",0.09577682497911155,Bobby Narang,0.09786681018886156
89,Time Magazine names Skokie CEO Holmgren to top 100 worldwide fighting climate change,-0.055562124645803124,"Time Magazine named Jennifer Holmgren, CEO of Skokie's LanzaTech, to its inaugural, worldwide list of 100 Most Influential Climate Leaders in Business for 2023.",0.03586451831506565,Jeff Banowetz,0.03616413759300485
90,Bill Ackman Has Another Gripe With Harvard: A Bungled Stock Gift,-0.07627508888253942,"The Federal Reserve will announce today if the central bank will continue raising interest rates, or pause, in its mission to cool inflation. Fed Chair Jerome Powell will speak this afternoon on its decision.",0.06915962573839352,Cara Lombardo,0.05680072052200558
91,"Tired of Tip Requests, Consumers Are Getting Stingy",-0.011301114296657033,"Article URL: https://www.wsj.com/economy/jobs/tipping-down-service-workers-a4c27a2e
Comments URL: https://news.ycombinator.com/item?id=38627645
Points: 3
# Comments: 2",0.03552624394069426,malshe,0.026078318420331925
92,"‘Reacher’ review Season 2: The big guy is back, guns blazing",-0.014561158764990978,"Alan Ritchson plays the mountain of a man, with a taste for wandering and a moral center, who reunites with his old Army unit.",0.08298684936016798,Nina Metz,0.08686624426627532
93,"Google will reconstruct the Thompson Center starting early next year, but will retain the building’s atrium",-0.04970108109409921,Historic preservationists who fought to save the Helmut Jahn-designed building from the wrecking ball praised the development team.,0.07118663156870753,Brian J. Rogal,0.08140658598858863
94,Bobby Narang’s girls basketball rankings and player of the week for Lake County,0.013129834667779505,Madison Hoffmann gives Grayslake Central an edge in the Northern Lake County Conference as rival Wauconda rises in the rankings.,0.05238192668184638,Bobby Narang,0.12047669969615526
95,Tesla to Recall More Than Two Million Vehicles Over Autopilot Safety Concerns,-0.0015305165434256196,Move comes amid two-year investigation by the National Highway Traffic Safety Administration,0.05599727248772979,Gareth Vipers,0.0859543770129676
96,Daywatch: Illinois homeowners turning to solar power,-0.060770302603486925,"Good morning, Chicago. Here are some of the top stories you need to know to start your day.",0.12098808551672846,Chicago Tribune staff,0.12116270716069266
97,IDF Begins Pumping Seawater Into Gaza Tunnels...,-0.06422907178057358,Early effort to flood tunnels is one of several techniques aimed at destroying network that underpins Hamas’s operations,0.01922628958709538,wsj,0.040245946642244235
98,Chicago Bears Q&A: When would a potential Justin Fields trade take place? How realistic are their playoff chances?,-0.09223736735293642,"Once left for dead at 2-7, the Chicago Bears have stoked long-shot playoff hopes with three wins in their last four games, including two in a row.",0.2044518609473016,Brad Biggs,0.23401639511575922
99,Chicago basketball report: Energy remains as Bulls’ streak ends — while Sky are sidelined from Caitlin Clark sweepstakes,-0.06557014025747776,"The Bulls are no longer streaking, the Illinois men's team is rising in the NCAA ranks and the Sky are stuck on the sidelines for another WNBA draft process.",0.1278397681817296,Julia Poe,0.11590276192873716
100,DeMar DeRozan embraces balance as a playmaker to fuel improved Chicago Bulls offense: ‘I just read whatever the game gives me’,-0.007094282322213985,Veteran DeMar DeRozan is leading the Chicago Bulls in assists to kickstart the offense amid a run of five wins in seven games.,0.12375306741159875,Julia Poe,0.16577608665102161
101,"Cardinal is convicted of embezzlement in big Vatican financial trial, sentenced to 5½ years",-0.0954210112686269,A Vatican tribunal on Saturday convicted a cardinal of embezzlement and sentenced him to 5 ½ years in prison in one of several verdicts handed down in a complicated financial trial that aired the city state’s dirty laundry and tested its justice system.,0.17956928594503552,Nicole Winfield,0.17107995523838326
102,Federal Reserve on cusp of what some thought impossible: Defeating inflation without steep recession,-0.05272828233864857,The Federal Reserve now seems on the verge of defeating inflation — and without the surge in unemployment and the deep recession that many economists had predicted would accompany it.,0.08846429968252778,Christopher Rugaber,0.07687629932479467
103,"As rain hits Midwest, Chicago in for a “blustery and dreary” weekend",-0.047439026238862425,"Chicago is in for a gray weekend in the high forties, with conditions described by the National Weather Service as “blustery and dreary”.",0.06808706431183964,Ilana Arougheti,0.0609541808044014
104,"As rain hits Midwest, Chicago in for a “blustery and dreary” weekend",-0.047439026238862425,"Chicago is in for a gray weekend in the high forties, with conditions described by the National Weather Service as “blustery and dreary”.",0.06808706431183964,Ilana Arougheti,0.0609541808044014
105,Boys Think Schools Favor Girls. Schools Are Trying New Tricks to Change That.,-0.03776166751049459,"All-male middle schools show what boys need to develop skills—and these lessons would work in coed schools, too",0.13454631468630396,Julie Jargon,0.10420509066898376
106,The chip on T.J. Edwards’ shoulder remains 5 years later — and he’s using it to drive his productive Chicago Bears season,-0.12779887428041548,"How Chicago Bears linebacker T.J. Edwards has continued his rise from undrafted rookie to one of the leaders on a resurgent defense: “Nothing was given to him. He had to earn everything.""",0.1507380669354461,Colleen Kane,0.19636127643752843
