Row Number,Publisher,Title,Author,Description,URL,Published At
32,The Wall Street Journal,News Publishers See GOOGLE AI Search Tool as Traffic-Destroying Nightmare...,wsj,Tech giant’s AI-powered search product is being tested on roughly 10 million users; publishers rely on Google for traffic and see a gathering storm,https://www.wsj.com/tech/ai/news-publishers-see-googles-ai-search-tool-as-a-traffic-destroying-nightmare-52154074,2023-12-14T13:00:03Z
33,Chicago Tribune,"Daywatch: Burke used his power ‘to punish,’ prosecutors say in closing arguments",Chicago Tribune staff,"Good morning, Chicago. Here are some of the top stories you need to know to start your day.",https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter--20231214-4y7xxbzgbrb23bsblircucfizq-story.html,2023-12-14T12:36:20Z
34,Chicago Tribune,Are the Chicago Bears suddenly one of the NFC’s better teams? 12 eye-catching numbers for their Week 15 game against the Cleveland Browns.,Dan Wiederer,"Kyle Orton's franchise record is not yet in jeopardy. But Justin Fields' 93 pass attempts since his last interception is a sign of progress for the quarterback, who returns this weekend to the site of his first career start.",https://www.chicagotribune.com/sports/bears/ct-chicago-bears-justin-fields-20231214-h3ddjkt7qfc2bez6qlg7ckzgki-story.html,2023-12-14T12:00:00Z
35,Chicago Tribune,Bowl season is complicated by opt-outs and coaching changes. But here’s a reason to watch all 42 games — plus predictions.,Ralph D. Russo,"When you’re down to about 40 college football games before the season ends, each should be savored.",https://www.chicagotribune.com/sports/college/ct-college-football-bowl-preview-20231214-3bq27sh2tjcenbdrmad2y6q2vq-story.html,2023-12-14T12:00:00Z
36,Chicago Tribune,Column: Creating a Chicago sports mixtape of favorite songs from athletes and sports personalities,Shakeia Taylor,"For many people, music is critical to setting the mood or getting them out of one. Throughout 2023, Shakeia Taylor asked Chicago athletes and those she interviewed around the sports industry about the music that motivates them, then created a playlist.",https://www.chicagotribune.com/sports/ct-sports-music-chicago-sky-20231214-liwguwzzabbmhegnzj65a7oyoa-story.html,2023-12-14T12:00:00Z
37,Chicago Tribune,"Best dance in Chicago for 2023: Top 10 reimagined fairy tales, notable shows and standout performances",Lauren Warnecke,"More than a handful of the year’s highlights leaned hard into storytelling, including the Joffrey's ""Little Mermaid"" and ""Frankenstein.""",https://www.chicagotribune.com/entertainment/theater/ct-ent-best-dance-chicago-2023-20231214-3ra6u3leyrfkhjgdvnca7mlqvq-story.html,2023-12-14T11:45:00Z
38,Chicago Tribune,‘The Crown’ Season 6 review: The final episodes shift focus to William and Kate,Nina Metz,The series also wraps with a look at Queen Elizabeth contemplating — and rejecting — minor attempts to modernize the monarchy.,https://www.chicagotribune.com/entertainment/what-to-watch/ct-ent-review-the-crown-s6-part-2-20231214-cfsicrvl7zdrdd6d32us6axrty-story.html,2023-12-14T11:30:00Z
39,Chicago Tribune,"Clarence Page: When it comes to slogans, pro-Palestinian activists should stick to those whose meanings aren’t disputed",Clarence Page,"We should all be able to agree that ""from the river to the sea"" is a slogan to be avoided by pro-Palestinian activists.",https://www.chicagotribune.com/columns/clarence-page/ct-column-palestinian-israel-black-lives-matter-jenk-uygur-young-turks-page-20231214-p62utmetjvgljiozvig6rjrvgm-story.html,2023-12-14T11:01:00Z
40,Chicago Tribune,Willie Wilson: The true meaning of Christmas,Willie Wilson Wilson,Tradition and commercialization has perverted the original intent of Christmas.,https://www.chicagotribune.com/opinion/commentary/ct-opinion-true-meaning-of-christmas-jesus-20231214-s7qfgg4xdnczzkkj5xcvnxskoy-story.html,2023-12-14T11:00:00Z
41,Chicago Tribune,Ted Deutch: Stop the global gaslighting of Jews and Israel,Ted Deutch,"When Jews are told by others that what they have experienced is not antisemitism, that is gaslighting.",https://www.chicagotribune.com/opinion/commentary/ct-opinion-israel-hamas-war-antisemitism-20231214-arfytadtxjh5dneuy5i5fbpv4i-story.html,2023-12-14T11:00:00Z
42,Chicago Tribune,Letters: Chicago needs a better program to address idling trucks and cars,Chicago Tribune,"Chicago needs a program to address idling violations like the one New York City adopted, whereby residents send videos of idling vehicles to the city",https://www.chicagotribune.com/opinion/letters/ct-letters-vp-121423-20231214-6ugjtc4lazbznleymqp7s5uiq4-story.html,2023-12-14T11:00:00Z
43,Chicago Tribune,Anti-Cruelty Society sees uptick in adoptions after waiving fees for December to reduce overcrowding,Alysa Guffey,Nearly 160 animals have been adopted from the Anti-Cruelty Society animal shelter since it waived adoption fees for the month of December.,https://www.chicagotribune.com/news/ct-anti-cruelty-society-fees-waived-20231214-zrs4thjr3jastbjebl4lgkkhim-story.html,2023-12-14T11:00:00Z
44,Chicago Tribune,Anti-Cruelty Society sees uptick in adoptions after waiving fees for December to reduce overcrowding,Alysa Guffey,Nearly 160 animals have been adopted from the Anti-Cruelty Society animal shelter since it waived adoption fees for the month of December.,https://www.chicagotribune.com/news/ct-anti-cruelty-society-fees-waived-20231214-zrs4thjr3jastbjebl4lgkkhim-story.html,2023-12-14T11:00:00Z
45,Chicago Tribune,Ask Amy: Mother-in-law keeps asking for money,Amy Dickinson,"Dear Amy: Her mother has a good career and makes very good money at her job. However, she has very little to show for it, with no savings or home ownership.",https://www.chicagotribune.com/advice/ask-amy-dickinson-20231214-rmdvqrz54vg47iplx7m4o3tkwy-story.html,2023-12-14T09:30:00Z
46,The Wall Street Journal,Dollar Hits Four-Month Low Against Yen After Fed Officials Project Rate Cuts,Megumi Fujikawa,"Treasury yields drop, pushing down global borrowing costs; Japanese yen surges",https://www.wsj.com/livecoverage/stock-market-today-dow-jones-12-14-2023,2023-12-14T09:09:04Z
47,Chicago Tribune,"Giannis Antetokounmpo scores franchise-record 64 points, Bucks beat Pacers 140-126",Jim Hoehn,Giannis Antetokounmpo scored a franchise-record 64 points to help the Milwaukee Bucks outscore the Indiana Pacers 140-126 on Wednesday night.,https://www.chicagotribune.com/sports/breaking/ct-nba-giannis-antetokounmpo-20231214-ggpylbbaireubkpa42xu762a7q-story.html,2023-12-14T04:42:10Z
48,Chicago Tribune,Sophomore point guard Quinn Arundel turns up pace as Mother McAuley rolls past Marist. ‘She’s huge for us.’,Gregg Voss,Quinn Arundel scored 15 points for the Mighty Macs in a 51-38 win at Marist that had a playoff atmosphere despite being before the holidays.,https://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-gbk-mmac-marist-st-1215-20231214-gz6vj6ii2nezfccg2hrm5skvyi-story.html,2023-12-14T04:36:40Z
49,Chicago Tribune,"Basketball and local scores for the Southland, Aurora, Elgin, Naperville and Lake County",From Staff Reports,"Results and highlights of high schools and local colleges from the Southland and Aurora, Elgin, Naperville and Lake County coverage areas.",https://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-local-scores-st-1215-20231214-uhslatkqfjafhi3v2g3epjqhmu-story.html,2023-12-14T04:05:46Z
50,Chicago Tribune,Chicago State men’s basketball stuns No. 25 Northwestern 75-73 behind 30 points from Wesley Cardet Jr.,Matt Carlson,Wesley Cardet Jr. scored 30 points and Chicago State stunned No. 25 Northwestern in a 75-73 upset.,https://www.chicagotribune.com/sports/college/ct-mbk-northwestern-chicago-state-20231214-jq3qrvdukfgvxa37spyvfqrqui-story.html,2023-12-14T03:45:13Z
51,Chicago Tribune,Federal regulators seek to force Starbucks to reopen 23 stores,Noam Scheiber,Federal labor regulators accused Starbucks on Wednesday of illegally closing 23 stores to suppress organizing activity and sought to force the company to reopen them.,https://www.chicagotribune.com/nation-world/ct-aud-nw-nyt-starbucks-union-store-closings-20231214-6lomjtd4ebcgnkzkigavlx4hcy-story.html,2023-12-14T03:37:21Z
52,Chicago Tribune,"Andrew’s James Gallagher makes name with defense and rebounds. And, now, scoring too? ‘I just want to do my part.’",Jeff Vorva,James Gallagher scored 16 points in leading the Thunderbolts to a 64-46 win over host Tinley Park in a matchup between crosstown rivals.,https://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-bbk-tnpk-andrw-st-1215-20231214-6t4zemfcxfgytcxv7rj74okttu-story.html,2023-12-14T03:33:54Z
53,Chicago Tribune,Photos: Global strike calls for ceasefire in Israel-Hamas war,"Pinar Istek, Eileen Meslar","Hundreds of Palestinian Americans and allies gathered in Bridgeview, also known as “Little Palestine,” in support of Worldwide Call for Strike in Solidarity with Gaza. According to the strike organizers, more than 200 businesses around the Chicago area were c…",https://www.chicagotribune.com/visuals/ct-viz-global-strike-call-ceasefire-20231214-llr73jzwozegfpkhgodaxpjqre-photogallery.html,2023-12-14T02:37:11Z
54,Chicago Tribune,"Migrants arriving by busload in Rosemont and Cicero are sent away, but welcomed in Oak Park, as suburbs respond differently to crisis",Robert McCoppin,"That latest development reflects the varied response suburbs have taken to some 26,000 migrants arriving in Chicago in the past year and being sheltered at police stations and the airport.",https://www.chicagotribune.com/immigration/ct-illinois-migrants-suburbs-20231214-kv5kbo7zajgsjmk6vwse2iqaui-story.html,2023-12-14T02:35:08Z
55,Chicago Tribune,Warriors star Draymond Green suspended indefinitely by NBA,Janie McCauley,"Golden State Warriors forward Draymond Green was suspended indefinitely by the NBA on Wednesday, less than 24 hours after he hit Phoenix Suns center Jusuf Nurkic in the face and received a Flagrant 2 foul and ejection.",https://www.chicagotribune.com/sports/breaking/ct-nba-warriors-draymond-green-20231214-iouruqjpuzho7gsmzd3iyopsse-story.html,2023-12-14T02:26:04Z
56,Chicago Tribune,"After graduation of LSU recruit Janae Kent, Maddie Martinez takes Oak Forest into future. ‘It’s step by step.’",Gregg Voss,"Maddie Martinez, who is averaging 12 points for the Bengals, is the type of player who wants to get up in the morning and go work out.",https://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-gbk-oakfo-mrtnz-st-1215-20231214-cxljl2e7prdtpflorbgp7uaeue-story.html,2023-12-14T01:14:17Z
57,Chicago Tribune,"Oak Park, which has been providing shelter for migrants, will require them to move out of hotel, YMCA by Jan. 31",Robert McCoppin,Migrants will be asked to work with a case manager or village staff to find new shelter and possibly move them to another city or state,https://www.chicagotribune.com/news/breaking/ct-illinois-migrants-oak-park-turn-away-20231214-6c5vdcwsnnaytdpyuhzgjrzxw4-story.html,2023-12-14T01:09:59Z
58,Chicago Tribune,Mayor Brandon Johnson defends handling of environmental report at now-scrapped migrant camp,Alice Yin,"Addressing reporters after a City Council meeting, the mayor said his approach to vetting the land that would have housed Chicago’s first government-run migrant camp was appropriate.",https://www.chicagotribune.com/politics/ct-brandon-johnson-migrants-base-camps-20231214-qd4wtgrw7raftkk2tjmfc343ma-story.html,2023-12-14T00:40:41Z
59,Chicago Tribune,Autopsy: Female found dead inside South Shore apartment was strangled,William Lee,"The victim, who was initially unidentified, was found unresponsive inside a home on the city's South Side, authorities said.",https://www.chicagotribune.com/news/breaking/ct-female-strangled-south-shore-apartment-20231214-3ihfwjonajedvkkfx7vb7bonty-story.html,2023-12-14T00:06:19Z
60,Chicago Tribune,Family of teen killed in Hinsdale crash sues Fuller’s Car Wash,Jake Sheridan,"The family of Sean Richards, 14, filed a lawsuit against Fuller’s Car Wash Wednesday, months after a customer’s car fatally hit Richards and crashed into a Fontano’s Subs sandwich shop.",https://www.chicagotribune.com/news/breaking/ct-hindsale-crash-fullers-car-wash-sean-richards-lawsuit-20231214-h6hmcpdopzh2hnqgbc5xjr4oei-story.html,2023-12-14T00:02:56Z
61,Chicago Tribune,3 things we heard from the Chicago Bears — including Justin Fields on late hits and Cairo Santos on the NFL’s first Brazil game,Colleen Kane,"“It’s just kind of frustrating, but not really astonishing because it happens a lot,” Chicago Bears quarterback Justin Fields said of late hits.",https://www.chicagotribune.com/sports/bears/ct-cb-chicago-bears-cairo-santos-20231213-7l7twvw3cje5lgors3qkzrwzaq-story.html,2023-12-13T23:47:49Z
62,Chicago Tribune,Column: Will Michael Jordan and Scottie Pippen attend the Chicago Bulls Ring of Honor celebration?,Paul Sullivan,The Ring of Honor was a great idea for the Chicago Bulls. But will Michael Jordan and Scottie Pippen attend the ceremonies after Pippen's harsh public comments about his former teammate?,https://www.chicagotribune.com/sports/bulls/ct-chicago-bulls-michael-jordan-scottie-pippen-20231213-akacek5zfrd7hhtsioydeyrrxu-story.html,2023-12-13T23:21:32Z
63,The Wall Street Journal,Uncontrolled Immigration Angering Voters Across Western World...,Greg Ip,"Uncontrolled Immigration Angering Voters Across Western World...

 
 
 
 (Third column, 8th story, link)

 

 

 
 Related stories:NAACP Leader Blasted After Calling Migrants Rapists, Savages...",https://www.wsj.com/world/americas/the-other-i-word-angering-voters-across-western-world-dc63345b,2023-12-13T23:04:38Z
64,Chicago Tribune,Editorial: Be very afraid for Chicago’s stellar selective-enrollment schools,The Editorial Board,Chicago's stellar selective-enrollment schools are going to need defenders from Mayor Brandon Johnson and the Chicago Teachers Union.,https://www.chicagotribune.com/opinion/editorials/ct-editorial-chicago-education-selective-enrollment-schools-ctu-20231213-743huxbg6fcwrkix2nhlv4vooa-story.html,2023-12-13T22:49:06Z
65,Chicago Tribune,Riot Fest announces dates and presale for 2024 festival,Doug George,"According to the pre-sale website, Riot Fest will once again be in Douglass Park in the North Lawndale neighborhood.",https://www.chicagotribune.com/entertainment/music/ct-ent-riot-fest-announces-september-2024-festival-20231213-spmwhjheprbezmi26y6ywgzpjm-story.html,2023-12-13T22:43:19Z
66,Chicago Tribune,"Alleged Highland Park shooter’s plan to represent self is a bad idea, experts say; ‘(It’s) very consistent with psychopathy and narcissism’",Chloe Hilles,"Pro se litigation, when someone represents themselves, is a constitutionally enumerated right, but presents unique challenges for all parties involved in a trial, according to area criminal defense attorneys.",https://www.chicagotribune.com/suburbs/ct-lns-crimo-highland-park-represent-pro-se-st-1214-20231213-marnyx42cnbftghbxe4yopsm4e-story.html,2023-12-13T22:08:14Z
67,Chicago Tribune,"Alleged Highland Park shooter’s plan to represent self is a bad idea, experts say; ‘(It’s) very consistent with psychopathy and narcissism’",Chloe Hilles,"Pro se litigation, when someone represents themselves, is a constitutionally enumerated right, but presents unique challenges for all parties involved in a trial, according to area criminal defense attorneys.",https://www.chicagotribune.com/suburbs/ct-lns-crimo-highland-park-represent-pro-se-st-1214-20231213-marnyx42cnbftghbxe4yopsm4e-story.html,2023-12-13T22:08:14Z
68,Chicago Tribune,Gary airport expands with purchase of Griffith-Merrillville Airport,Carole Carlson,The Gary/Chicago International Airport has acquired the nearby Griffith-Merrillville Airport in a $1.8 million deal.,https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-gary-airport-acquisition-st-1214-20231213-rrnkm63qijaxho7cckfp4cycw4-story.html,2023-12-13T21:32:36Z
69,Chicago Tribune,Terry Savage: The gift of organization,Terry Savage,"The gift of financial peace of mind is priceless. And it all starts with organization. Instead of waking up in the middle of the night worried about money and bills, wouldn’t it be amazing to feel in control of your finances?",https://www.chicagotribune.com/business/success/ct-terry-savage-gift-of-organization-20231213-pps4oxpmkjcdtkf7ubcae3f5la-story.html,2023-12-13T21:09:15Z
70,The Wall Street Journal,The 'Moneyball' Firm Behind Your Chicken...,Patrick Thomas,Indiana-based Agri Stats says its number crunching helps make chicken more affordable. The government says its data lets companies collude.,https://www.wsj.com/business/the-moneyball-firm-behind-your-chicken-22d301b4,2023-12-13T21:04:39Z
71,Chicago Tribune,Afternoon Briefing: Closing arguments slated to begin in Burke trial,Chicago Tribune staff,"Good afternoon, Chicago. Here's what is happening today.",https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-dec13-20231213-xxp4se4ajzfl5bnju367skixie-story.html,2023-12-13T19:51:55Z
