,Original Title Text,Normalized Title,Original Description Text,Normalized Description,Original Author Text,Normalized Author
10,"Norovirus outbreak investigation linked to $1 burrito event underway in Evanston, health department confirms","['noroviru', 'outbreak', 'investig', 'link', '1', 'burrito', 'event', 'underway', 'evanston', 'health', 'depart', 'confirm']",A confirmed norovirus outbreak investigation is underway at the Evanston Health and Human Services Department and Northwestern University after students got sick from a $1 burrito event.,"['confirm', 'noroviru', 'outbreak', 'investig', 'underway', 'evanston', 'health', 'human', 'servic', 'depart', 'northwestern', 'univers', 'student', 'got', 'sick', '1', 'burrito', 'event']",Rebecca Johnson,"['rebecca', 'johnson']"
11,"Exclusive: Barclays working on $1.25 billion cost plan, could cut up to 2,000 jobs -source","['exclus', 'barclay', 'work', 'billion', 'cost', 'plan', 'could', 'cut', 'job']","Barclays <a href=""https://www.reuters.com/markets/companies/BARC.L"" target=""_blank"">(BARC.L)</a> is working on plans to save as much as 1 billion pounds ($1.25 billion), which could involve cutting as many as 2,000 jobs, mainly in the British bank's back offi…","['barclay', 'http', 'work', 'plan', 'save', 'much', '1', 'billion', 'pound', 'billion', 'could', 'involv', 'cut', 'mani', 'job', 'mainli', 'british', 'bank', 'back']",Sinead Cruise,"['sinead', 'cruis']"
12,"Man, 30, seriously wounded overnight in shooting on Far South Side, police say","['man', '30', 'serious', 'wound', 'overnight', 'shoot', 'far', 'south', 'side', 'polic', 'say']","Shortly after 3:30 a.m. Thursday, the victim was walking in the 1400 block of West 112th Place when he heard shots and felt pain.","['shortli', 'thursday', 'victim', 'walk', '1400', 'block', 'west', '112th', 'place', 'heard', 'shot', 'felt', 'pain']",Deanese Williams-Harris,['deanes']
13,Thanksgiving forecast: Sunny conditions expected with highs in mid 40s,"['thanksgiv', 'forecast', 'sunni', 'condit', 'expect', 'high', 'mid', '40']",Current morning conditions at Midway Airport is a few clouds at 40 degrees. At O’hare International Airport temperatures registered at 38 degrees.,"['current', 'morn', 'condit', 'midway', 'airport', 'cloud', '40', 'degre', 'hare', 'intern', 'airport', 'temperatur', 'regist', '38', 'degre']",Deanese Williams-Harris,['deanes']
14,What does Sam Altman’s firing — and quick reinstatement — mean for the future of AI?,"['sam', 'altman', 'fire', 'quick', 'reinstat', 'mean', 'futur', 'ai']","If you’re just catching up on the OpenAI saga and what’s at stake for the artificial intelligence space as a whole, you’ve come to the right place. Here’s a rundown of what you need to know.","['catch', 'openai', 'saga', 'stake', 'artifici', 'intellig', 'space', 'whole', 'come', 'right', 'place', 'rundown', 'need', 'know']",Chicago Tribune,"['chicago', 'tribun']"
15,"To save the climate, the oil and gas sector must slash planet-warming operations, report says","['save', 'climat', 'oil', 'ga', 'sector', 'must', 'slash', 'oper', 'report', 'say']","The oil and gas sector, one of the major emitters of planet-warming gases, will need a rapid and substantial overhaul for the world to avoid even worse extreme weather events fueled by human-caused climate change, according to a report released Thursday.","['oil', 'ga', 'sector', 'one', 'major', 'emitt', 'gase', 'need', 'rapid', 'substanti', 'overhaul', 'world', 'avoid', 'even', 'wors', 'extrem', 'weather', 'event', 'fuel', 'climat', 'chang', 'accord', 'report', 'releas', 'thursday']",Sibi Arasu,"['sibi', 'arasu']"
16,Retailers are ready to kick off Black Friday just as shoppers pull back on spending,"['retail', 'readi', 'kick', 'black', 'friday', 'shopper', 'pull', 'back', 'spend']",Retail executives are growing concerned with a spending slowdown that could temper sales on the day after Thanksgiving as well as throughout the holidays.,"['retail', 'execut', 'grow', 'concern', 'spend', 'slowdown', 'could', 'temper', 'sale', 'day', 'thanksgiv', 'well', 'throughout', 'holiday']",Anne D'Innocenzio,['ann']
17,"2 fatally wounded in separate shootings Wednesday evening on South Side, Chicago police said","['2', 'fatal', 'wound', 'separ', 'shoot', 'wednesday', 'even', 'south', 'side', 'chicago', 'polic', 'said']","Two men were fatally wounded Wednesday evening in separate shootings on the South Side, police said.","['two', 'men', 'fatal', 'wound', 'wednesday', 'even', 'separ', 'shoot', 'south', 'side', 'polic', 'said']",Deanese Williams-Harris,['deanes']
18,"4 takeaways from the Chicago Blackhawks’ 7-3 loss, including Bedard vs. Fantilli Part I and the ‘A-Teens’ power play debut","['4', 'takeaway', 'chicago', 'blackhawk', 'loss', 'includ', 'bedard', 'fantilli', 'part', 'power', 'play', 'debut']",No reason to dwell on Wednesday’s disastrous defense when the Chicago Blackhawks got a first glimpse at their (maybe) power play of the future.,"['reason', 'dwell', 'wednesday', 'disastr', 'defens', 'chicago', 'blackhawk', 'got', 'first', 'glimps', 'mayb', 'power', 'play', 'futur']",Phil Thompson,"['phil', 'thompson']"
19,Don't press 'pandemic panic button' scientists caution on China pneumonia report,"['press', 'panic', 'button', 'scientist', 'caution', 'china', 'pneumonia', 'report']","Leading scientists urged caution over fears of another pandemic on Thursday after the World Health Organization requested more <a href=""/world/china/who-asks-china-details-respiratory-illness-outbreaks-2023-11-23/"">information</a> from China on a rise of resp…","['lead', 'scientist', 'urg', 'caution', 'fear', 'anoth', 'pandem', 'thursday', 'world', 'health', 'organ', 'request', 'inform', 'china', 'rise']",Jennifer Rigby,"['jennif', 'rigbi']"
20,Return to Work Coming for Your Pandemic-Era Home...,"['return', 'work', 'come', 'home']","Return to Work Coming for Your Pandemic-Era Home...

 
 
 
 (Second column, 8th story, link)

 

 

 
 Related stories:Market slump in five charts...

 

 
 
 Drudge Report Feed needs your support!   Become a Patron","['return', 'work', 'come', 'home', 'second', 'column', '8th', 'stori', 'link', 'relat', 'stori', 'market', 'slump', 'five', 'chart', 'drudg', 'report', 'feed', 'need', 'support', 'becom', 'patron']",Libertina Brandt,"['libertina', 'brandt']"
21,Bankman-Fried's Life Behind Bars: Crypto Tips and Paying With Fish...,"['life', 'behind', 'bar', 'crypto', 'tip', 'pay', 'fish']","Bankman-Fried's Life Behind Bars: Crypto Tips and Paying With Fish...

 
 
 
 (Second column, 11th story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron","['life', 'behind', 'bar', 'crypto', 'tip', 'pay', 'fish', 'second', 'column', '11th', 'stori', 'link', 'drudg', 'report', 'feed', 'need', 'support', 'becom', 'patron']","James Fanelli, Corinne Ramey","['jame', 'fanelli', 'corinn', 'ramey']"
22,2024 E-Ray: The Quickest 'Vette Ever...,"['2024', 'quickest', 'ever']","The fastest-off-the line production Corvette combines a naturally aspirated V8 with all-electric front-wheel propulsion—and redefines what it feels like to drive a ’Vette, writes Dan Neil.","['line', 'product', 'corvett', 'combin', 'natur', 'aspir', 'v8', 'redefin', 'feel', 'like', 'drive', 'vett', 'write', 'dan', 'neil']",Dan Neil,"['dan', 'neil']"
23,"5 teens, including 15-year-old boy, wounded in drive-by shooting overnight, cops say","['5', 'teen', 'includ', 'boy', 'wound', 'shoot', 'overnight', 'cop', 'say']","Shortly before 12:15 a.m., the group of teenagers were walking in the 2000 block of West Monroe Street when someone inside a vehicle open fire, striking the teens near the United Center, police said.","['shortli', 'group', 'teenag', 'walk', '2000', 'block', 'west', 'monro', 'street', 'someon', 'insid', 'vehicl', 'open', 'fire', 'strike', 'teen', 'near', 'unit', 'center', 'polic', 'said']",Deanese Williams-Harris,['deanes']
24,"What’s J.J. McCarthy’s secret to staying focused? Daily meditation, says the Michigan QB and Nazareth alumnus.","['mccarthi', 'secret', 'stay', 'focus', 'daili', 'medit', 'say', 'michigan', 'qb', 'nazareth', 'alumnu']",This week in particular — with a matchup vs. archrival Ohio State coming up Saturday — Michigan QB J.J. McCarthy says his meditation routine helps tremendously.,"['week', 'particular', 'matchup', 'archriv', 'ohio', 'state', 'come', 'saturday', 'michigan', 'qb', 'mccarthi', 'say', 'medit', 'routin', 'help', 'tremend']",Larry Lage,"['larri', 'lage']"
25,Will Zach LaVine be traded before the deadline? What should the Chicago Bulls get in return? 6 trade rumor mill questions.,"['zach', 'lavin', 'trade', 'deadlin', 'chicago', 'bull', 'get', 'return', '6', 'trade', 'rumor', 'mill', 'question']","What to expect with a possible Zach LaVine trade, including a timeline for the future and what the Chicago Bulls could receive in return.","['expect', 'possibl', 'zach', 'lavin', 'trade', 'includ', 'timelin', 'futur', 'chicago', 'bull', 'could', 'receiv', 'return']",Julia Poe,"['julia', 'poe']"
26,Kellie O’Connell: Helping feed our neighbors — including our new arrivals — defines us as Chicagoans,"['kelli', 'connel', 'help', 'feed', 'neighbor', 'includ', 'new', 'arriv', 'defin', 'u', 'chicagoan']",Our food programs at Chicago's Nourishing Hope are serving more people today than we did at the height of the pandemic.,"['food', 'program', 'chicago', 'nourish', 'hope', 'serv', 'peopl', 'today', 'height', 'pandem']",Kellie O’Connell,"['kelli', 'connel']"
27,Editorial: Abe Lincoln‘s generous gift: A day for Americans to give thanks—and eat turkey,"['editori', 'abe', 'lincoln', 'gener', 'gift', 'day', 'american', 'give', 'eat', 'turkey']",Abraham Lincoln helped set the Thanksgiving table.,"['abraham', 'lincoln', 'help', 'set', 'thanksgiv', 'tabl']",The Editorial Board,"['editori', 'board']"
28,Letters: Our nation would be wise to be thankful for its immigrants,"['letter', 'nation', 'would', 'wise', 'thank', 'immigr']","From the pilgrims to the present day, it is those who have come before us that have helped make our country.","['pilgrim', 'present', 'day', 'come', 'u', 'help', 'make', 'countri']",Chicago Tribune,"['chicago', 'tribun']"
29,David McGrath: I give thanks for these fine Americans,"['david', 'mcgrath', 'give', 'thank', 'fine', 'american']",Here is a Top 10 list of people (and a radio station) for which I am grateful.,"['top', '10', 'list', 'peopl', 'radio', 'station', 'grate']",David McGrath,"['david', 'mcgrath']"
30,Editorial: Our thanks to Chicago firefighters and their families,"['editori', 'thank', 'chicago', 'firefight', 'famili']","Four Chicago firefighters have lost their lives on the job in 2023, the most in a single year since 1998. What would we do without them? We offer thanks.","['four', 'chicago', 'firefight', 'lost', 'live', 'job', '2023', 'singl', 'year', 'sinc', '1998', 'would', 'without', 'offer', 'thank']",The Editorial Board,"['editori', 'board']"
31,"Soot pollution from coal-fired power plants is more deadly than soot from other sources, study shows","['soot', 'pollut', 'power', 'plant', 'deadli', 'soot', 'sourc', 'studi', 'show']","Only Pennsylvania, New York and Ohio recorded more deaths associated with coal plant pollution than the 25,000 deaths in Illinois during the period studied.","['pennsylvania', 'new', 'york', 'ohio', 'record', 'death', 'associ', 'coal', 'plant', 'pollut', 'death', 'illinoi', 'period', 'studi']",Michael Hawthorne,"['michael', 'hawthorn']"
32,Descendant of Holocaust survivors forms friendship with Muslim refugee and shows ‘what’s possible in the world’,"['descend', 'holocaust', 'survivor', 'form', 'friendship', 'muslim', 'refuge', 'show', 'possibl', 'world']","One is a devout Muslim who fled religious persecution in Myanmar, arriving in Chicago as a refugee. The other is a Jewish descendent of Holocaust survivors.","['one', 'devout', 'muslim', 'fled', 'religi', 'persecut', 'myanmar', 'arriv', 'chicago', 'refuge', 'jewish', 'descend', 'holocaust', 'survivor']",Angie Leventis Lourgos,"['angi', 'leventi', 'lourgo']"
33,Ask Amy: 54-year-old mother wants another child,"['ask', 'ami', 'mother', 'want', 'anoth', 'child']","Dear Amy: At 54, my mother, already blessed with two academically accomplished children in the eighth and 12th grades, says she wants to have a third child.","['dear', 'ami', '54', 'mother', 'alreadi', 'bless', 'two', 'academ', 'accomplish', 'child', 'eighth', '12th', 'grade', 'say', 'want', 'third', 'child']",Amy Dickinson,"['ami', 'dickinson']"
34,We Should All Give Thanks for Taylor Swift,"['give', 'thank', 'taylor', 'swift']","She brings joy, jobs and happy feet everywhere she goes. She’s the best thing happening in America.","['bring', 'joy', 'job', 'happi', 'foot', 'everywher', 'goe', 'best', 'thing', 'happen', 'america']",Peggy Noonan,"['peggi', 'noonan']"
35,"Zach Edey’s 28 points, 15 boards power No. 2 Purdue men’s basketball past No. 4 Marquette for Maui Invitational title","['zach', 'edey', '28', 'point', '15', 'board', 'power', '2', 'purdu', 'men', 'basketbal', 'past', '4', 'marquett', 'maui', 'invit', 'titl']",Zach Edey had 28 points and 15 rebounds to carry No. 2 Purdue to a 78-75 win over No. 4 Marquette in the championship game of the Maui Invitational.,"['zach', 'edey', '28', 'point', '15', 'rebound', 'carri', '2', 'purdu', 'win', '4', 'marquett', 'championship', 'game', 'maui', 'invit']",Kalani Takase,"['kalani', 'taka']"
36,Grateful for a new home: Community members embrace migrants as many find meaning in their first Thanksgiving celebration in Chicago,"['grate', 'new', 'home', 'commun', 'member', 'embrac', 'migrant', 'mani', 'find', 'mean', 'first', 'thanksgiv', 'celebr', 'chicago']",Maria Goitia and her family celebrated their first American Thanksgiving grateful for the help they've received since leaving their native Venezuela.,"['maria', 'goitia', 'famili', 'celebr', 'first', 'american', 'thanksgiv', 'grate', 'help', 'receiv', 'sinc', 'leav', 'nativ', 'venezuela']","Laura Rodríguez Presa, Alysa Guffey","['laura', 'rodríguez', 'presa', 'alysa', 'guffey']"
37,Grateful for a new home: Community members embrace migrants as many find meaning in their first Thanksgiving celebration in Chicago,"['grate', 'new', 'home', 'commun', 'member', 'embrac', 'migrant', 'mani', 'find', 'mean', 'first', 'thanksgiv', 'celebr', 'chicago']",Maria Goitia and her family celebrated their first American Thanksgiving grateful for the help they've received since leaving their native Venezuela.,"['maria', 'goitia', 'famili', 'celebr', 'first', 'american', 'thanksgiv', 'grate', 'help', 'receiv', 'sinc', 'leav', 'nativ', 'venezuela']","Laura Rodríguez Presa, Alysa Guffey","['laura', 'rodríguez', 'presa', 'alysa', 'guffey']"
38,"Colts owner Jim Irsay says police pulled him over because he’s a ‘rich, white billionaire’","['colt', 'owner', 'jim', 'irsay', 'say', 'polic', 'pull', 'rich', 'white', 'billionair']","Indianapolis Colts owner Jim Irsay told HBO Sports his arrest for operating a vehicle while intoxicated nearly a decade ago occurred because of police prejudice against “a rich, white billionaire.”","['indianapoli', 'colt', 'owner', 'jim', 'irsay', 'told', 'hbo', 'sport', 'arrest', 'oper', 'vehicl', 'intox', 'nearli', 'decad', 'ago', 'occur', 'polic', 'prejudic', 'rich', 'white', 'billionair']",Chicago Tribune,"['chicago', 'tribun']"
39,Zach LaVine sits out against Oklahoma City Thunder with right foot sprain: ‘I try to play through everything’,"['zach', 'lavin', 'sit', 'oklahoma', 'citi', 'thunder', 'right', 'foot', 'sprain', 'tri', 'play', 'everyth']",Zach LaVine was unavailable for Wednesday's game against the Oklahoma City Thunder with a right foot injury.,"['zach', 'lavin', 'unavail', 'wednesday', 'game', 'oklahoma', 'citi', 'thunder', 'right', 'foot', 'injuri']",Julia Poe,"['julia', 'poe']"
40,Three arrested after armed robbery attempt at Midlothian liquor store,"['three', 'arrest', 'arm', 'robberi', 'attempt', 'midlothian', 'liquor', 'store']","Midlothian police responded to Emporium Liquor at about 10:15 a.m. Wednesday to find two people leaving the store, one carrying merchandise and another with a ski mask.","['midlothian', 'polic', 'respond', 'emporium', 'liquor', 'wednesday', 'find', 'two', 'peopl', 'leav', 'store', 'one', 'carri', 'merchandis', 'anoth', 'ski', 'mask']",Ilana Arougheti,"['ilana', 'arougheti']"
41,"As COVID numbers rise, public health officials call for vigilance against respiratory viruses","['covid', 'number', 'rise', 'public', 'health', 'offici', 'call', 'vigil', 'respiratori', 'virus']",IDPH also asks residents to skip holiday gatherings if they have symptoms of respiratory infections.,"['idph', 'also', 'ask', 'resid', 'skip', 'holiday', 'gather', 'symptom', 'respiratori', 'infect']",Ilana Arougheti,"['ilana', 'arougheti']"
42,Sam Altman's ouster was precipitated by letter to board about AI breakthrough,"['sam', 'altman', 'ouster', 'precipit', 'letter', 'board', 'ai', 'breakthrough']","Ahead of OpenAI CEO <a href=""/technology/ousting-ceo-sam-altman-chatgpt-loses-its-best-fundraiser-2023-11-18/"">Sam Altman’s four days in exile</a>, several staff researchers sent the board of directors a letter warning of a powerful artificial intelligence di…","['ahead', 'openai', 'ceo', 'sam', 'altman', 'four', 'day', 'exil', 'sever', 'staff', 'research', 'sent', 'board', 'director', 'letter', 'warn', 'power', 'artifici', 'intellig']","Anna Tong, Jeffrey Dastin, Krystal Hu","['anna', 'tong', 'jeffrey', 'dastin', 'krystal', 'hu']"
43,Chicago Bears and quarterback Justin Fields look to better handle Minnesota Vikings pressure in rematch,"['chicago', 'bear', 'quarterback', 'justin', 'field', 'look', 'better', 'handl', 'minnesota', 'vike', 'pressur', 'rematch']",Justin Fields is excited to show how he and his teammates can finish against the Minnesota Vikings. He didn’t get the chance last time around.,"['justin', 'field', 'excit', 'show', 'teammat', 'finish', 'minnesota', 'vike', 'get', 'chanc', 'last', 'time', 'around']",Colleen Kane,"['colleen', 'kane']"
44,"Veterinarians warn of mystery illness affecting dogs in Illinois, other states","['veterinarian', 'warn', 'mysteri', 'ill', 'affect', 'dog', 'illinoi', 'state']",Experts warn that the unnamed illness has shown to be resistant to medication in some canines.,"['expert', 'warn', 'unnam', 'ill', 'shown', 'resist', 'medic', 'canin']",Ilana Arougheti,"['ilana', 'arougheti']"
45,"Stellantis recalls more than 32,000 hybrid Jeep Wrangler SUVs","['stellanti', 'recal', 'hybrid', 'jeep', 'wrangler', 'suv']",The recall covers 2021-2024 models of the Jeep Wrangler 4xe SUVs. All other Wrangler models have been deemed safe by Stellantis.,"['recal', 'cover', 'model', 'jeep', 'wrangler', '4xe', 'suv', 'wrangler', 'model', 'deem', 'safe', 'stellanti']",Chicago Tribune,"['chicago', 'tribun']"
46,Track coach pleads guilty tricking women into sending him nude photos,"['track', 'coach', 'plead', 'guilti', 'trick', 'woman', 'send', 'nude', 'photo']","He previously worked as a track and field coach at several academic institutions, including Northeastern University, Penn State University, Illinois Institute of Technology, University of Tennessee and Concordia University Chicago.","['previous', 'work', 'track', 'field', 'coach', 'sever', 'academ', 'institut', 'includ', 'northeastern', 'univers', 'penn', 'state', 'univers', 'illinoi', 'institut', 'technolog', 'univers', 'tennesse', 'concordia', 'univers', 'chicago']",Chicago Tribune,"['chicago', 'tribun']"
47,"U.S. egg producers conspired to fix prices, Illinois jury finds","['egg', 'produc', 'conspir', 'fix', 'price', 'illinoi', 'juri', 'find']",Several large food manufacturing companies including Kraft Foods Global Inc. and The Kellogg Company alleged in the lawsuit that producers used various means to increase the prices of eggs and egg products during the 2000s.,"['sever', 'larg', 'food', 'manufactur', 'compani', 'includ', 'kraft', 'food', 'global', 'kellogg', 'compani', 'alleg', 'lawsuit', 'produc', 'use', 'variou', 'mean', 'increas', 'price', 'egg', 'egg', 'product', '2000']",Isabella Volmert,"['isabella', 'volmert']"
48,Burger King tycoon recounts morning FBI showed up at his Texas doorstep with questions about Ald. Ed Burke: ‘I was relieved when they said I’m not in trouble’,"['burger', 'king', 'tycoon', 'recount', 'morn', 'fbi', 'show', 'texa', 'doorstep', 'question', 'ald', 'ed', 'burk', 'reliev', 'said', 'troubl']","On the day the FBI raided then-Ald. Edward Burke’s City Hall offices, federal agents appeared on the doorstep of a Texas businessman","['day', 'fbi', 'raid', 'edward', 'burk', 'citi', 'hall', 'offic', 'feder', 'agent', 'appear', 'doorstep', 'texa', 'businessman']","Jason Meisner, Ray Long, Megan Crepeau","['jason', 'meisner', 'ray', 'long', 'megan', 'crepeau']"
49,"Shelley Howard, graphic artist whose posters promoted Jam Production concerts, dies at 76","['shelley', 'howard', 'graphic', 'artist', 'whose', 'poster', 'promot', 'jam', 'product', 'concert', 'die', '76']","Shelley Howard, who designed rock concert posters for Jam Productions, dies at 76.","['shelley', 'howard', 'design', 'rock', 'concert', 'poster', 'jam', 'product', 'die', '76']",Bob Goldsborough,"['bob', 'goldsborough']"
50,‘I’ve seen it all.’ Coby White focuses on consistency amid Zach LaVine trade rumors and Chicago Bulls roster turmoil.,"['seen', 'cobi', 'white', 'focus', 'consist', 'amid', 'zach', 'lavin', 'trade', 'rumor', 'chicago', 'bull', 'roster', 'turmoil']",Coby White is familiar with Zach LaVine trade rumors and Chicago Bulls roster turmoil — but he doesn't want either to affect this season on the court.,"['cobi', 'white', 'familiar', 'zach', 'lavin', 'trade', 'rumor', 'chicago', 'bull', 'roster', 'turmoil', 'want', 'either', 'affect', 'season', 'court']",Julia Poe,"['julia', 'poe']"
51,Afternoon Briefing: Investigation underway after man and 6-year-old boy found deceased,"['afternoon', 'brief', 'investig', 'underway', 'man', 'boy', 'found', 'deceas']","Good afternoon, Chicago. Here's what is happening today.","['good', 'afternoon', 'chicago', 'happen', 'today']",Chicago Tribune staff,"['chicago', 'tribun', 'staff']"
52,Daryl Hall gets restraining order against John Oates in Hall & Oates legal battle,"['daryl', 'hall', 'get', 'restrain', 'order', 'john', 'oat', 'hall', 'oat', 'legal', 'battl']",Hall & Oates are embroiled in a confidential legal battle that has led to Daryl Hall getting a restraining order against his former music partner John Oates.,"['hall', 'oat', 'embroil', 'confidenti', 'legal', 'battl', 'led', 'daryl', 'hall', 'get', 'restrain', 'order', 'former', 'music', 'partner', 'john', 'oat']",Ethan Shanfeld,"['ethan', 'shanfeld']"
53,Aaron Rodgers still aiming to return to New York Jets practice around his 40th birthday next month,"['aaron', 'rodger', 'still', 'aim', 'return', 'new', 'york', 'jet', 'practic', 'around', '40th', 'birthday', 'next', 'month']",Aaron Rodgers hopes to celebrate his 40th birthday by returning to practice with the New York Jets.,"['aaron', 'rodger', 'hope', 'celebr', '40th', 'birthday', 'return', 'practic', 'new', 'york', 'jet']",Dennis Waszak Jr.,"['denni', 'waszak', 'jr']"
54,"Editorial: At Berlin, a historic nightclub and progressive icon, the end comes at the hands of self-described progressives","['editori', 'berlin', 'histor', 'nightclub', 'progress', 'icon', 'end', 'come', 'hand', 'progress']","Chicago's Berlin was a cool, progressive nightclub dedicated to tolerance. It was destroyed by radical over-reach.","['chicago', 'berlin', 'cool', 'progress', 'nightclub', 'dedic', 'toler', 'destroy', 'radic']",The Editorial Board,"['editori', 'board']"
55,AVP to launch new professional league next year,"['avp', 'launch', 'new', 'profession', 'leagu', 'next', 'year']","The new league, which will feature eight teams nationwide, will become AVP’s new premier beach volleyball competition, with the traditional AVP Pro Series being renamed the AVP Heritage Series.","['new', 'leagu', 'featur', 'eight', 'team', 'nationwid', 'becom', 'avp', 'new', 'premier', 'beach', 'volleybal', 'competit', 'tradit', 'avp', 'pro', 'seri', 'renam', 'avp', 'heritag', 'seri']",Michael Hixon,"['michael', 'hixon']"
56,Terry Savage: Holiday season is for giving to those in need,"['terri', 'savag', 'holiday', 'season', 'give', 'need']","It’s easy to overlook the plight of so many Americans just hoping to keep the heat on and a roof over their heads, not only in the holiday season but year-round.","['easi', 'overlook', 'plight', 'mani', 'american', 'hope', 'keep', 'heat', 'roof', 'head', 'holiday', 'season']",Terry Savage,"['terri', 'savag']"
57,"Tech, Media & Telecom Roundup: Market Talk","['tech', 'medium', 'telecom', 'roundup', 'market', 'talk']",,[],nan,['nan']
